,iteration,x,f(x),sum,epsilon,converged,gradient,m,v,beta1,beta2,alpha
0,0,[0 0],2685,<built-in function sum>,0.0001,False,[-1500 -180],[0. 0.],[0. 0.],0.8,0.9,0.01
1,1,[0.00999999933333338 0.00999999444444753],2668.24594202290,<built-in function sum>,0.0001,False,[-1500 -180],[-300.000000000000 -36.0000000000000],[225000.000000000 3240.00000000000],0.8,0.9,0.01
2,2,[0.0199981972787808 0.0199996622689301],2651.58625290042,<built-in function sum>,0.0001,False,[-1491.01798859760 -179.800000111111],[-538.203597719520 -64.7600000222222],[424813.464232164 6148.80400399555],0.8,0.9,0.01
3,3,[0.0299934206845783 0.0299987912602079],2635.02229169251,<built-in function sum>,0.0001,False,[-1482.07351349605 -179.600006754621],[-726.977580874825 -87.7280013687020],[601986.307749599 8759.53984622200],0.8,0.9,0.01
4,4,[0.0399845406197154 0.0399971776419660],2618.55531052564,<built-in function sum>,0.0001,False,[-1473.16752654819 -179.400024174796],[-876.215570009498 -106.062405929921],[758809.933102250 11102.0227289915],0.8,0.9,0.01
5,5,[0.0499704892310501 0.0499946291500993],2602.18643192092,<built-in function sum>,0.0001,False,[-1464.30092376031 -179.200056447161],[-993.832640759661 -120.689936033369],[897346.659324556 13203.0864791589],0.8,0.9,0.01
6,6,[0.0599502743879125 0.0599909676907692],2585.91663027224,<built-in function sum>,0.0001,False,[-1455.47453130937 -179.000107416998],[-1086.16101886960 -132.351970310095],[1019452.60452112 15086.8816767727],0.8,0.9,0.01
7,7,[0.0699229917022663 0.0699860315073380],2569.74671792739,<built-in function sum>,0.0001,False,[-1446.68909386183 -178.800180646185],[-1158.26663386805 -141.641612377313],[1126798.27749889 16775.1439690063],0.8,0.9,0.01
8,8,[0.0798878336718289 0.0799796768119679],2553.67733606590,<built-in function sum>,0.0001,False,[-1437.94526549563 -178.600279369853],[-1214.20236019357 -149.033345775821],[1220887.10840513 18287.4355512046],0.8,0.9,0.01
9,9,[0.0898440958548401 0.0899717788675063],2537.70895031791,<built-in function sum>,0.0001,False,[-1429.24360337664 -178.400406463761],[-1257.21060883018 -154.906757913409],[1303072.12534392 19641.3624987277],0.8,0.9,0.01
10,10,[0.0997911801351739 0.0999622325328482],2521.84185084880,<built-in function sum>,0.0001,False,[-1420.58456419438 -178.200564422650],[-1289.88539990302 -159.565519215257],[1374570.96321226 20852.7703649100],0.8,0.9,0.01
11,11,[0.109728595264781 0.109950952308377],2506.07615645828,<built-in function sum>,0.0001,False,[-1411.96850323052 -178.000755349343],[-1314.30202056852 -163.252566442074],[1436479.37230254 21935.9202189127],0.8,0.9,0.01
12,12,[0.119655954970259 0.119937871936131],2490.41182211622,<built-in function sum>,0.0001,False,[-1403.39567582552 -177.800980953832],[-1332.12075161992 -166.162249344426],[1489783.37736487 22903.6470798359],0.8,0.9,0.01
13,13,[0.129572973978672 0.129922943621531],2474.84864928451,<built-in function sum>,0.0001,False,[-1394.86624092963 -177.601242561277],[-1344.66984948186 -168.450047987796],[1535370.22263689 23767.5025077833],0.8,0.9,0.01
14,14,[0.139479462354982 0.139906136949925],2459.38629834877,<built-in function sum>,0.0001,False,[-1386.38026637478 -177.401541127569],[-1353.01193286045 -170.240346615751],[1574038.22467254 24537.8829364486],0.8,0.9,0.01
15,15,[0.149375318552731 0.149887437572518],2444.02430250036,<built-in function sum>,0.0001,False,[-1377.93773548333 -177.201877261001],[-1357.99709338502 -171.632652744801],[1606505.64249218 25224.1451732861],0.8,0.9,0.01
16,16,[0.159260521565705 0.159866845733303],2428.76208245791,<built-in function sum>,0.0001,False,[-1369.53855463291 -177.002251248550],[-1360.30538563460 -172.706572445551],[1633418.66350556 25834.7103506629],0.8,0.9,0.01
17,17,[0.169135122536978 0.169844374702571],2413.59896148853,<built-in function sum>,0.0001,False,[-1361.18256142060 -176.802663085334],[-1360.48082079180 -173.525790573507],[1655358.59370656 26377.1574830032],0.8,0.9,0.01
18,18,[0.178999236138736 0.179820049174365],2398.53418027350,<built-in function sum>,0.0001,False,[-1352.86953310676 -176.603112505949],[-1358.95856325479 -174.141254959996],[1672848.33169676 26858.3076693818],0.8,0.9,0.01
19,19,[0.188853031986901 0.189793903676025],2383.56691125160,<built-in function sum>,0.0001,False,[-1344.59919506511 -176.403599016513],[-1356.08668961686 -174.593723771299],[1686358.19806406 27284.2998770415],0.8,0.9,0.01
20,20,[0.198696726303279 0.199765981028399],2368.69627216136,<built-in function sum>,0.0001,False,[-1336.37122901558 -176.204121926480],[-1352.14359749660 -174.915803402335],[1696311.18443171 27660.6591477255],0.8,0.9,0.01
21,21,[0.208530573988222 0.209736330886079],2353.92133858420,<built-in function sum>,0.0001,False,[-1328.18528086623 -176.004680379432],[-1347.35193417053 -175.133578797754],[1703087.68001951 27992.3579844995],0.8,0.9,0.01
22,22,[0.218354861220975 0.219705008378573],2339.24115536236,<built-in function sum>,0.0001,False,[-1320.04096803758 -175.805273382278],[-1341.88974094394 -175.267917714659],[1707029.72774732 28283.8716009514],0.8,0.9,0.01
23,23,[0.228169898664516 0.229672072865922],2324.65474682641,<built-in function sum>,0.0001,False,[-1311.93788618442 -175.605899832429],[-1335.89936999203 -175.335514138213],[1708444.85669319 28539.2276464519],0.8,0.9,0.01
24,24,[0.237976015317540 0.239637586816009],2310.16112581677,<built-in function sum>,0.0001,False,[-1303.87561526669 -175.406558542682],[-1329.49461904696 -175.349723019107],[1707609.53303258 28762.0509597854],0.8,0.9,0.01
25,25,[0.247773553028351 0.249601614805745],2295.75930152222,<built-in function sum>,0.0001,False,[-1295.85372495042 -175.207248263680],[-1322.76644022766 -175.321228068021],[1704772.26737611 28955.6038482200],0.8,0.9,0.01
26,26,[0.257562861663583 0.259564222644327],2281.44828618726,<built-in function sum>,0.0001,False,[-1287.87177934347 -175.007967703885],[-1315.78750805082 -175.258575995194],[1700156.41264143 29122.8223393824],0.8,0.9,0.01
27,27,[0.267344294908280 0.269525476613850],2267.22710076013,<built-in function sum>,0.0001,False,[-1279.92934108878 -174.808715547113],[-1308.61587465841 -175.168603905578],[1693962.68319528 29266.3488085673],0.8,0.9,0.01
28,28,[0.277118206662204 0.279485442820427],2253.09477956606,<built-in function sum>,0.0001,False,[-1272.02597485043 -174.609490467723],[-1301.29789469681 -175.056781218007],[1686371.42294517 29388.5613438504],0.8,0.9,0.01
29,29,[0.286884947989598 0.289444186647651],2239.05037409720,<built-in function sum>,0.0001,False,[-1264.16125023648 -174.410291143591],[-1293.87056580475 -174.927483203124],[1677544.64731060 29491.6001751446],0.8,0.9,0.01
30,30,[0.296644864575206 0.299401772303452],2225.09295601298,<built-in function sum>,0.0001,False,[-1256.33474420744 -174.211116267047],[-1286.36340148529 -174.784209815909],[1667627.88152982 29577.3914607312],0.8,0.9,0.01
31,31,[0.306398294637457 0.309358262451102],2211.22161944331,<built-in function sum>,0.0001,False,[-1248.54604302162 -174.011964553931],[-1278.79992979255 -174.629760763513],[1656751.81553133 29647.6686954499],0.8,0.9,0.01
32,32,[0.316145567249809 0.319313717915186],2197.43548268337,<built-in function sum>,0.0001,False,[-1240.79474376838 -173.812834750978],[-1271.19889258772 -174.466375561006],[1645033.79359452 29703.9919783220],0.8,0.9,0.01
33,33,[0.325887001022693 0.329268197453634],2183.73368936338,<built-in function sum>,0.0001,False,[-1233.08045553911 -173.613725641696],[-1263.57520517800 -174.295845577144],[1632579.15521832 29747.7653536088],0.8,0.9,0.01
34,34,[0.335622903100952 0.339221757587413],2170.11540917016,<built-in function sum>,0.0001,False,[-1225.40280028300 -173.414636050927],[-1255.94072419900 -174.119603671901],[1619482.44199063 29780.2524179155],0.8,0.9,0.01
35,35,[0.345353568434743 0.349174452480048],2156.57983819066,<built-in function sum>,0.0001,False,[-1217.76141339151 -173.215564848252],[-1248.30486203750 -173.938795907171],[1605828.48378610 29802.5903666938],0.8,0.9,0.01
36,36,[0.355079279285299 0.359126333859812],2143.12619893992,<built-in function sum>,0.0001,False,[-1210.15594405169 -173.016510950399],[-1240.67507844034 -173.754338915817],[1591693.37629985 29815.8026361694],0.8,0.9,0.01
37,37,[0.364800304930541 0.369077450978070],2129.75374012958,<built-in function sum>,0.0001,False,[-1202.58605540471 -172.817473322804],[-1233.05727383321 -173.566965797214],[1577145.36073525 29820.8102811203],0.8,0.9,0.01
38,38,[0.374516901539097 0.379027850597980],2116.46173622581,<built-in function sum>,0.0001,False,[-1195.05142454207 -172.618450980439],[-1225.45610397498 -173.377262833859],[1562245.61539173 29818.4422148968],0.8,0.9,0.01
39,39,[0.384229312184767 0.388977577008356],2103.24948683955,<built-in function sum>,0.0001,False,[-1187.55174236836 -172.419442988040],[-1217.87523165366 -173.185698864695],[1547048.96793277 29809.4444254378],0.8,0.9,0.01
40,40,[0.393937766976773 0.398926672058159],2090.11631598593,<built-in function sum>,0.0001,False,[-1180.08671335573 -172.220448459833],[-1210.31752799407 -172.992648783723],[1531604.53624337 29794.4882696646],0.8,0.9,0.01
41,41,[0.403642483284177 0.408875175207615],2077.06157124478,<built-in function sum>,0.0001,False,[-1172.65605521209 -172.021466558837],[-1202.78523343768 -172.798412338746],[1515956.30500159 29774.1779384034],0.8,0.9,0.01
42,42,[0.413343666035680 0.418823123592514],2064.08462284901,<built-in function sum>,0.0001,False,[-1165.25949848207 -171.822496495848],[-1195.28008644655 -172.603229170166],[1500143.64438170 29749.0571747696],0.8,0.9,0.01
43,43,[0.423041508078577 0.428770552098712],2051.18486272378,<built-in function sum>,0.0001,False,[-1157.89678609693 -171.623537528150],[-1187.80342637663 -172.407290841763],[1484201.77666889 29719.6153206603],0.8,0.9,0.01
44,44,[0.432736190582920 0.438717493444262],2038.36170349550,<built-in function sum>,0.0001,False,[-1150.56767288741 -171.424588958026],[-1180.35627567879 -172.210750465015],[1468162.19599135 29686.2927585371],0.8,0.9,0.01
45,45,[0.442427883478998 0.448663978267038],2025.61457748647,<built-in function sum>,0.0001,False,[-1143.27192507107 -171.225650131115],[-1172.93940555724 -172.013730398235],[1452053.04585779 29649.4858089657],0.8,0.9,0.01
46,46,[0.452116745918072 0.458610035215979],2012.94293570814,<built-in function sum>,0.0001,False,[-1136.00931972406 -171.026720434659],[-1165.55338839061 -171.816328405520],[1435899.45872200 29609.5511383326],0.8,0.9,0.01
47,47,[0.461802926747870 0.468555691044447],2000.34624686358,<built-in function sum>,0.0001,False,[-1128.77964424536 -170.827799295680],[-1158.19863956156 -171.618622583552],[1419723.86137607 29566.8097257199],0.8,0.9,0.01
48,48,[0.471486564995765 0.478500970704402],1987.82399636755,<built-in function sum>,0.0001,False,[-1121.58269582030 -170.628886179111],[-1150.87545081331 -171.420675302664],[1403546.24959482 29521.5504330203],0.8,0.9,0.01
49,49,[0.481167790353775 0.488445897440351],1975.37568539097,<built-in function sum>,0.0001,False,[-1114.41828088870 -170.429980585912],[-1143.58401682838 -171.222536359313],[1387384.43511323 29474.0332179697],0.8,0.9,0.01
50,50,[0.490846723660549 0.498390492882205],1963.00082993464,<built-in function sum>,0.0001,False,[-1107.28621462216 -170.231082051193],[-1136.32445638714 -171.024245497689],[1371254.26771113 29424.4920258047],0.8,0.9,0.01
51,51,[0.500523477376460 0.508334777136371],1950.69895993642,<built-in function sum>,0.0001,False,[-1100.18632041384 -170.032190142356],[-1129.09682919248 -170.825834426623],[1355169.83490259 29373.1373916849],0.8,0.9,0.01
52,52,[0.510198156048661 0.518278768874520],1938.46961841431,<built-in function sum>,0.0001,False,[-1093.11842938347 -169.833304457273],[-1121.90114923068 -170.627328432753],[1339143.64147811 29320.1587828040],0.8,0.9,0.01
53,53,[0.519870856763648 0.528222485419608],1926.31236064747,<built-in function sum>,0.0001,False,[-1086.08237989960 -169.634424622510],[-1114.73739536446 -170.428747670704],[1323186.77092314 29265.7267062246],0.8,0.9,0.01
54,54,[0.529541669585448 0.538165942828854],1914.22675339622,<built-in function sum>,0.0001,False,[-1079.07801712064 -169.435550291608],[-1107.60551971570 -170.230108194885],[1307309.03053413 29209.9946058642],0.8,0.9,0.01
55,55,[0.539210677978009 0.548109155973419],1902.21237416156,<built-in function sum>,0.0001,False,[-1072.10519255558 -169.236681143423],[-1100.50545428367 -170.031422784592],[1291519.08187118 29153.1005697218],0.8,0.9,0.01
56,56,[0.548877959210810 0.558052138614651],1890.26881048413,<built-in function sum>,0.0001,False,[-1065.16376364505 -169.037816880532],[-1093.43711615595 -169.832701603780],[1275824.55802231 29095.1688663232],0.8,0.9,0.01
57,57,[0.558543584747000 0.567994903476795],1878.39565928229,<built-in function sum>,0.0001,False,[-1058.25359336304 -168.838957227707],[-1086.40041159737 -169.633952728566],[1260232.16900666 29036.3113274649],0.8,0.9,0.01
58,58,[0.568207620613717 0.577937462316130],1866.59252622846,<built-in function sum>,0.0001,False,[-1051.37454983929 -168.640101930464],[-1079.39523924575 -169.435182568945],[1244747.79651097 28976.6285926301],0.8,0.9,0.01
59,59,[0.577870127754421 0.587879825986531],1854.85902516286,<built-in function sum>,0.0001,False,[-1044.52650600220 -168.441250753677],[-1072.42149259704 -169.236396205892],[1229376.57903399 28916.2112289134],0.8,0.9,0.01
60,60,[0.587531162363296 0.597822004501494],1843.19477754340,<built-in function sum>,0.0001,False,[-1037.70933924186 -168.242403480269],[-1065.47906192600 -169.037597660767],[1214122.98840557 28855.1407389039],0.8,0.9,0.01
61,61,[0.597190776201934 0.607764007092682],1831.59941193039,<built-in function sum>,0.0001,False,[-1030.92293109279 -168.043559909970],[-1058.56783575936 -168.838790110608],[1198990.89855030 28793.4904677350],0.8,0.9,0.01
62,62,[0.606849016898619 0.617705842265085],1820.07256350468,<built-in function sum>,0.0001,False,[-1024.16716693569 -167.844719858146],[-1051.68770199463 -168.639976060116],[1183983.64727818 28731.3264193875],0.8,0.9,0.01
63,63,[0.616505928230650 0.627647517848884],1808.61387361771,<built-in function sum>,0.0001,False,[-1017.44193571771 -167.645883154698],[-1044.83854873924 -168.441157479032],[1169104.09180606 28668.7079913206],0.8,0.9,0.01
64,64,[0.626161550390213 0.637589041048142],1797.22298937193,<built-in function sum>,0.0001,False,[-1010.74712969036 -167.447049643022],[-1038.02026492947 -168.242335911830],[1154354.65864319 28605.6886356038],0.8,0.9,0.01
65,65,[0.635815920234354 0.647530418486441],1785.89956323009,<built-in function sum>,0.0001,False,[-1004.08264416433 -167.248219179037],[-1031.23274077644 -168.043512565272],[1139737.38841007 28542.3164538994],0.8,0.9,0.01
66,66,[0.645469071519682 0.657471656249595],1774.64325265176,<built-in function sum>,0.0001,False,[-997.448377280580 -167.049391630271],[-1024.47586807727 -167.844688378271],[1125253.97610303 28478.6347329138],0.8,0.9,0.01
67,67,[0.655121035122419 0.667412759925581],1763.45371975570,<built-in function sum>,0.0001,False,[-990.844229796679 -166.850566875008],[-1017.74954042115 -167.645864077619],[1110905.80726486 28414.6824262736],0.8,0.9,0.01
68,68,[0.664771839244468 0.677353734641801],1752.33063100640,<built-in function sum>,0.0001,False,[-984.270104887781 -166.651744801488],[-1011.05365331448 -167.447040222393],[1096693.99047596 28350.4945881843],0.8,0.9,0.01
69,69,[0.674421509606147 0.687294585099841],1741.27365692347,<built-in function sum>,0.0001,False,[-977.725907961358 -166.452925307164],[-1004.38810424385 -167.248217239347],[1082619.38653825 28286.1027636971],0.8,0.9,0.01
70,70,[0.684070069626269 0.697235315607840],1730.28247181247,<built-in function sum>,0.0001,False,[-971.211546484952 -166.254108298003],[-997.752792692072 -167.049395451078],[1068682.63468699 28221.5353399238],0.8,0.9,0.01
71,71,[0.693717540590216 0.707175930110609],1719.35675351570,<built-in function sum>,0.0001,False,[-964.726929826162 -166.055293687843],[-991.147620118890 -166.850575098431],[1054884.17613148 28156.8178621070],0.8,0.9,0.01
72,72,[0.703363941806656 0.717116432217625],1708.49618318177,<built-in function sum>,0.0001,False,[-958.271969104157 -165.856481397788],[-984.572489915944 -166.651756358303],[1041224.27519540 28091.9733180618],0.8,0.9,0.01
73,73,[0.713009290753544 0.727056825229041],1697.70044505268,<built-in function sum>,0.0001,False,[-951.846577051990 -165.657671355647],[-978.027307343153 -166.452939357771],[1027703.03830042 28027.0223941532],0.8,0.9,0.01
74,74,[0.722653603214014 0.736997112159807],1686.96922626719,<built-in function sum>,0.0001,False,[-945.450667889032 -165.458863495419],[-971.511979452329 -166.254124185301],[1014320.43101156 27961.9837056574],0.8,0.9,0.01
75,75,[0.732296893402763 0.746937295762047],1676.30221667939,<built-in function sum>,0.0001,False,[-939.084157202882 -165.260057756804],[-965.026415002440 -166.055310899602],[1001076.29334135 27896.8740040699],0.8,0.9,0.01
76,76,[0.741939174083502 0.756877378545784],1665.69910869138,<built-in function sum>,0.0001,False,[-932.746961840121 -165.061254084759],[-958.570524369976 -165.856499536633],[987970.353489413 27831.7083636662],0.8,0.9,0.01
77,77,[0.751580456678025 0.766817362798125],1655.15959709913,<built-in function sum>,0.0001,False,[-926.438999805326 -164.862452429084],[-952.144219457046 -165.657690115123],[975002.240176501 27766.5003493928],0.8,0.9,0.01
78,78,[0.761220751367417 0.776757250601019],1644.68337895044,<built-in function sum>,0.0001,False,[-920.160190167768 -164.663652744038],[-945.747413599190 -165.458882640906],[962171.493715809 27701.2621679544],0.8,0.9,0.01
79,79,[0.770860067185919 0.786697043847666],1634.27015341431,<built-in function sum>,0.0001,False,[-913.910452975288 -164.464854987980],[-939.380021474410 -165.260077110321],[949477.575949978 27636.0048037807],0.8,0.9,0.01
80,80,[0.780498412107905 0.796636744257684],1623.91962166065,<built-in function sum>,0.0001,False,[-907.689709174818 -164.266059123047],[-933.041959014492 -165.061273512866],[936919.879169167 27570.7381413843],0.8,0.9,0.01
81,81,[0.790135793128454 0.806576353391112],1613.63148674977,<built-in function sum>,0.0001,False,[-901.497880539098 -164.067265114846],[-926.733143319413 -164.862471833262],[924497.734113898 27505.4710754724],0.8,0.9,0.01
82,82,[0.799772216337919 0.816515872661333],1603.40545353076,<built-in function sum>,0.0001,False,[-895.334889599133 -163.868472932178],[-920.453492575357 -164.663672053045],[912210.417155858 27440.2116100375],0.8,0.9,0.01
83,83,[0.809407686990921 0.826455303346997],1593.24122854823,<built-in function sum>,0.0001,False,[-889.200659581982 -163.669682546773],[-914.202925976682 -164.464874151791],[900057.156740375 27374.9669475299],0.8,0.9,0.01
84,84,[0.819042209570140 0.836394646603005],1583.13851995658,<built-in function sum>,0.0001,False,[-883.095114353473 -163.470893933060],[-907.981363652040 -164.266078108045],[888037.139165835 27309.7435691043],0.8,0.9,0.01
85,85,[0.828675787845263 0.846333903470644],1573.09703744140,<built-in function sum>,0.0001,False,[-877.018178365495 -163.272107067940],[-901.788726594731 -164.067283900024],[876149.513767605 27244.5473068344],0.8,0.9,0.01
86,86,[0.838308424927441 0.856273074886905],1563.11649214739,<built-in function sum>,0.0001,False,[-870.969776607514 -163.073321930587],[-895.624936597288 -163.868491506136],[864393.397567218 27179.3834086986],0.8,0.9,0.01
87,87,[0.847940123319555 0.866212161693074],1553.19659661215,<built-in function sum>,0.0001,False,[-864.949834562000 -162.874538502262],[-889.489916190230 -163.669700905361],[852767.879441380 27114.2565970612],0.8,0.9,0.01
88,88,[0.857570884962609 0.876151164642629],1543.33706470565,<built-in function sum>,0.0001,False,[-858.958278163461 -162.675756766139],[-883.383588584876 -163.470912077517],[841272.023859796 27049.1711212987],0.8,0.9,0.01
89,89,[0.867200711278514 0.886090084408510],1533.53761157464,<built-in function sum>,0.0001,False,[-852.995033760817 -162.476976707147],[-877.305877620065 -163.272125003443],[829904.874235878 26984.1308051583],0.8,0.9,0.01
90,90,[0.876829603209535 0.896028921589795],1523.79795359181,<built-in function sum>,0.0001,False,[-847.060028082849 -162.278198311830],[-871.256707712622 -163.073339665120],[818665.455929862 26919.1390893758],0.8,0.9,0.01
91,91,[0.886457561254643 0.905967676717844],1514.11780830922,<built-in function sum>,0.0001,False,[-841.153188206479 -162.079421568204],[-865.236003811393 -162.874556045737],[807552.778939868 26854.1990700266],0.8,0.9,0.01
92,92,[0.896084585502998 0.915906350261936],1504.49689441569,<built-in function sum>,0.0001,False,[-835.274441527680 -161.880646465643],[-859.243691354650 -162.675774129718],[796565.840312819 26789.3135330374],0.8,0.9,0.01
93,93,[0.905710675664782 0.925844942634453],1494.93493169776,<built-in function sum>,0.0001,False,[-829.423715734780 -161.681872994761],[-853.279696230676 -162.476993902727],[785703.626303866 26724.4849852431],0.8,0.9,0.01
94,94,[0.915335831099568 0.935783454195631],1485.43164100408,<built-in function sum>,0.0001,False,[-823.600938783997 -161.483101147311],[-847.343944741341 -162.278215351644],[774965.114310068 26659.7156823340],0.8,0.9,0.01
95,95,[0.924960050842427 0.945721885257930],1475.98674421272,<built-in function sum>,0.0001,False,[-817.806038877007 -161.284330916087],[-841.436363568474 -162.079438464532],[764349.274601431 26595.0076540056],0.8,0.9,0.01
96,96,[0.934583333627933 0.955660236090028],1466.59996420143,<built-in function sum>,0.0001,False,[-812.038944440394 -161.085562294841],[-835.556879742858 -161.880663230594],[753855.071870075 26530.3627265896],0.8,0.9,0.01
97,97,[0.944205677912225 0.965598506920505],1457.27102482032,<built-in function sum>,0.0001,False,[-806.299584106833 -160.886795278199],[-829.705420615653 -161.681889640115],[743481.466616152 26465.7825434196],0.8,0.9,0.01
98,98,[0.953827081893281 0.975536697941199],1447.99965086703,<built-in function sum>,0.0001,False,[-800.587886697846 -160.688029861590],[-823.881913832092 -161.483117684410],[733227.416387270 26401.2685831575],0.8,0.9,0.01
99,99,[0.963447543529543 0.985474809310297],1438.78556806390,<built-in function sum>,0.0001,False,[-794.903781208032 -160.489266041176],[-818.086287307280 -161.284347355763],[723091.876886425 26336.8221762853],0.8,0.9,0.01
100,100,[0.973067060557007 0.995412841155158],1429.62850303731,<built-in function sum>,0.0001,False,[-789.247196790625 -160.290503813794],[-812.318469203949 -161.085578647369],[713073.802961969 26272.4445199448],0.8,0.9,0.01
101,101,[0.982685630504912 1.00535079357491],1420.52818329861,<built-in function sum>,0.0001,False,[-783.618062744288 -160.091743176897],[-806.578387912017 -160.886811553275],[703172.149491683 26208.1366912920],0.8,0.9,0.01
102,102,[0.992303250710134 1.01528866664281],1411.48433722691,<built-in function sum>,0.0001,False,[-778.016308501032 -159.892984128502],[-800.865972029820 -160.688046068320],[693385.872171872 26143.8996595146],0.8,0.9,0.01
103,103,[1.00191991833037 1.02522646040843],1402.49669405320,<built-in function sum>,0.0001,False,[-772.441863615171 -159.694226667144],[-795.181150346890 -160.489282188085],[683713.928221213 26079.7342966448],0.8,0.9,0.01
104,104,[1.01153563035625 1.03516417489963],1393.56498384600,<built-in function sum>,0.0001,False,[-766.894657753223 -159.495470791831],[-789.523851828157 -160.290519908834],[674155.277008135 26015.6413872911],0.8,0.9,0.01
105,105,[1.02115038362238 1.04510181012438],1384.68893749819,<built-in function sum>,0.0001,False,[-761.374620684690 -159.296716502007],[-783.894005599463 -160.091759227469],[664708.880609597 25951.6216373941],0.8,0.9,0.01
106,106,[1.03076417481751 1.05503936607244],1375.86828671499,<built-in function sum>,0.0001,False,[-755.881682273625 -159.097963797512],[-778.291540934296 -159.893000141478],[655373.704308318 25887.6756821062],0.8,0.9,0.01
107,107,[1.04037700049383 1.06497684271684],1367.10276400308,<built-in function sum>,0.0001,False,[-750.415772470931 -158.899212678551],[-772.716387241623 -159.694242648892],[646148.717034800 25823.8040928819],0.8,0.9,0.01
108,108,[1.04998885707540 1.07491424001533],1358.39210266059,<built-in function sum>,0.0001,False,[-744.976821307337 -158.700463145663],[-767.168474054765 -159.495486748247],[637032.891759839 25760.0073838585],0.8,0.9,0.01
109,109,[1.05959974086596 1.08485155791159],1349.73603676802,<built-in function sum>,0.0001,False,[-739.564758886977 -158.501715199693],[-761.647731021208 -159.296732438536],[628025.205842610 25696.2860175971],0.8,0.9,0.01
110,110,[1.06920964805603 1.09478879633646],1341.13430117994,<built-in function sum>,0.0001,False,[-734.179515381536 -158.302968841768],[-756.154087893273 -159.097979719182],[619124.641338936 25632.6404102492],0.8,0.9,0.01
111,111,[1.07881857472930 1.10472595520892],1332.58663151745,<built-in function sum>,0.0001,False,[-728.821021024905 -158.104224073271],[-750.687474519600 -158.899228590000],[610330.185273821 25569.0709362054],0.8,0.9,0.01
112,112,[1.08842651686865 1.11466303443712],1324.09276416130,<built-in function sum>,0.0001,False,[-723.489206108306 -157.905480895822],[-745.247820837341 -158.700479051164],[601640.829881961 25505.5779322789],0.8,0.9,0.01
113,113,[1.09803347036143 1.12460003391928],1315.65243624561,<built-in function sum>,0.0001,False,[-718.184000975850 -157.706739311258],[-739.835056865042 -158.501731103183],[593055.572819533 25442.1617014699],0.8,0.9,0.01
114,114,[1.10763943100443 1.13453695354441],1307.26538565214,<built-in function sum>,0.0001,False,[-712.905336020483 -157.507999321614],[-734.449112696131 -158.302984746869],[584573.417350228 25378.8225163527],0.8,0.9,0.01
115,115,[1.11724439450831 1.14447379319317],1298.93135100510,<built-in function sum>,0.0001,False,[-707.653141680295 -157.309260929112],[-729.089918492964 -158.104239983318],[576193.372508204 25315.5606221238],0.8,0.9,0.01
116,116,[1.12684835650168 1.15441055273843],1290.65007166640,<built-in function sum>,0.0001,False,[-702.427348435149 -157.110524136137],[-723.757404481400 -157.905496813882],[567914.453240347 25252.3762393445],0.8,0.9,0.01
117,117,[1.13645131253474 1.16434723204596],1282.42128773132,<built-in function sum>,0.0001,False,[-697.227886803621 -156.911788945231],[-718.451500945844 -157.706755240152],[559735.680529977 25189.2695664094],0.8,0.9,0.01
118,118,[1.14605325808272 1.17428383097497],1274.24474002456,<built-in function sum>,0.0001,False,[-692.054687340206 -156.713055359081],[-713.172138224717 -157.508015263937],[551656.081503934 25126.2407817663],0.8,0.9,0.01
119,119,[1.15565418854879 1.18422034937860],1266.12017009669,<built-in function sum>,0.0001,False,[-686.907680632778 -156.514323380501],[-707.919246706329 -157.309276887250],[543674.689524771 25063.2900459152],0.8,0.9,0.01
120,120,[1.16525409926689 1.19415678710443],1258.04732022081,<built-in function sum>,0.0001,False,[-681.786797300273 -156.315593012428],[-702.692756825118 -157.110540112286],[535790.544269590 25000.4175032064],0.8,0.9,0.01
121,121,[1.17485298550419 1.20409314399486],1250.02593338964,<built-in function sum>,0.0001,False,[-676.691967990588 -156.116864257911],[-697.492599058212 -156.911804941411],[528002.691796928 24937.6232834581],0.8,0.9,0.01
122,122,[1.18445084246330 1.21402941988754],1242.05575331276,<built-in function sum>,0.0001,False,[-671.623123378664 -155.918137120103],[-692.318703922302 -156.713071377149],[520310.184602927 24874.9075034126],0.8,0.9,0.01
123,123,[1.19404766528429 1.22396561461566],1234.13652441413,<built-in function sum>,0.0001,False,[-666.580194164746 -155.719411602249],[-687.171001970791 -156.514339422169],[512712.081667905 24812.2702680464],0.8,0.9,0.01
124,124,[1.20364344904652 1.23390172800837],1226.26799182986,<built-in function sum>,0.0001,False,[-661.563111072805 -155.520687707687],[-682.049423791194 -156.315609079273],[505207.448494348 24749.7116717489],0.8,0.9,0.01
125,125,[1.21323818877023 1.24383775989096],1218.44990140615,<built-in function sum>,0.0001,False,[-656.571804849092 -155.321965439833],[-676.953900002773 -156.116880351385],[497795.357137192 24687.2317993833],0.8,0.9,0.01
126,126,[1.22283187941799 1.25377371008523],1210.68199969736,<built-in function sum>,0.0001,False,[-651.606206260842 -155.123244802181],[-671.884361254387 -155.918153241544],[490474.886227238 24624.8307272407],0.8,0.9,0.01
127,127,[1.23242451589600 1.26370957840966],1202.96403396437,<built-in function sum>,0.0001,False,[-646.666246095082 -154.924525798295],[-666.840738222526 -155.719427752894],[483245.120988384 24562.5085238993],0.8,0.9,0.01
