,iteration,x,f(x),sum,epsilon,converged,gradient,m,v,beta1,beta2,alpha
455,455,[4.23566985402712 4.51645905731438],202.045264772508,<built-in function sum>,0.0001,False,[-5.52802025152193 -89.8686182254193],[-6.29117465484869 -90.6599096579270],[62.0294729685204 8403.10503710753],0.8,0.9,0.01
456,456,[4.24363769689179 4.52634878598607],201.117391927607,<built-in function sum>,0.0001,False,[-5.35826530208410 -89.6708188537123],[-6.10459278429577 -90.4620914970841],[58.6976263764202 8366.88010878630],0.8,0.9,0.01
457,457,[4.25158526015209 4.53623827370168],200.192906270931,<built-in function sum>,0.0001,False,[-5.19243265873244 -89.4730242802787],[-5.92216075918311 -90.2642780537230],[55.5239994303253 8330.73430529360],0.8,0.9,0.01
458,458,[4.25951221508438 4.54612751941204],199.271772305543,<built-in function sum>,0.0001,False,[-5.03046628645733 -89.2752345259664],[-5.74382186463795 -90.0664693481717],[52.5021585932111 8294.66762473088],0.8,0.9,0.01
459,459,[4.26741822659902 4.55601652206111],198.353955085065,<built-in function sum>,0.0001,False,[-4.87231033667031 -89.0774496117592],[-5.56951955904442 -89.8686654008892],[49.6258835355725 8258.68006519134],0.8,0.9,0.01
460,460,[4.27530295312865 4.56590528058598],197.439420211623,<built-in function sum>,0.0001,False,[-4.71790915089746 -88.8796695587777],[-5.39919747741503 -89.6708662324669],[46.8891618576274 8222.77162475996],0.8,0.9,0.01
461,461,[4.28316604651645 4.57579379391675],196.528133833750,<built-in function sum>,0.0001,False,[-4.56720726456302 -88.6818943882805],[-5.23279943484463 -89.4730718636296],[44.2861838916124 8186.94230151337],0.8,0.9,0.01
462,462,[4.29100715190459 4.58568206097652],195.620062644254,<built-in function sum>,0.0001,False,[-4.42014941086571 -88.4841241216650],[-5.07026943004885 -89.2752823152367],[41.8113375838888 8151.19209351986],0.8,0.9,0.01
463,463,[4.29882590762307 4.59557008068131],194.715173878029,<built-in function sum>,0.0001,False,[-4.27668052474962 -88.2863587804696],[-4.91155164898900 -89.0774976082833],[39.4592034565772 8115.52099883925],0.8,0.9,0.01
464,464,[4.30662194507918 4.60545785193997],193.813435309828,<built-in function sum>,0.0001,False,[-4.13674574697207 -88.0885983863739],[-4.75659046858561 -88.8797177639014],[37.2245496484286 8079.92901552291],0.8,0.9,0.01
465,465,[4.31439488864783 4.61534537365419],192.914815251993,<built-in function sum>,0.0001,False,[-4.00029042827043 -87.8908429612005],[-4.60533046052258 -88.6819428033612],[35.1023270346370 8044.41614161366],0.8,0.9,0.01
466,466,[4.32214435556301 4.62523264471835],192.019282552127,<built-in function sum>,0.0001,False,[-3.86726013363015 -87.6930925269162],[-4.45771639514409 -88.4841727480722],[33.0876644252898 8008.98237514573],0.8,0.9,0.01
467,467,[4.32986995581059 4.63511966401951],191.126806590724,<built-in function sum>,0.0001,False,[-3.73760064665622 -87.4953471056330],[-4.31369324544652 -88.2864076195844],[31.1758638421493 7973.62771414467],0.8,0.9,0.01
468,468,[4.33757129202295 4.64500643043733],190.237357278751,<built-in function sum>,0.0001,False,[-3.61125797405011 -87.2976067196099],[-4.17320619116724 -88.0886474395895],[29.3623958734484 7938.35215662737],0.8,0.9,0.01
469,469,[4.34524795937551 4.65489294284401],189.350905055169,<built-in function sum>,0.0001,False,[-3.48817835019443 -87.0998713912535],[-4.03620062297268 -87.8908922299223],[27.6428951063801 7903.15570060193],0.8,0.9,0.01
470,470,[4.35289954548576 4.66477920010422],188.467420884413,<built-in function sum>,0.0001,False,[-3.36830824184742 -86.9021411431198],[-3.90262214674762 -87.6931420125618],[26.0131556369518 7868.03834406761],0.8,0.9,0.01
471,471,[4.36052563031494 4.67466520107502],187.586876253810,<built-in function sum>,0.0001,False,[-3.25159435294939 -86.7044159979157],[-3.77241658798798 -87.4953968096326],[24.4691266568699 7833.00008501481],0.8,0.9,0.01
472,472,[4.36812578607300 4.68455094460583],186.709243170944,<built-in function sum>,0.0001,False,[-3.13798362954308 -86.5066959784996],[-3.64552999629900 -87.2976566434060],[23.0069081171109 7798.04092142498],0.8,0.9,0.01
473,473,[4.37569957712709 4.69443642953831],185.834494160963,<built-in function sum>,0.0001,False,[-3.02742326481011 -86.3089811078834],[-3.52190865000122 -87.0999215363015],[21.6227464678312 7763.16085127058],0.8,0.9,0.01
474,474,[4.38324655991406 4.70432165470633],184.962602263832,<built-in function sum>,0.0001,False,[-2.91986070422529 -86.1112714092338],[-3.40149906084604 -86.9021915108879],[20.3130304742560 7728.35987251500],0.8,0.9,0.01
475,475,[4.39076628285762 4.71420661893590],184.093541031522,<built-in function sum>,0.0001,False,[-2.81524365083092 -85.9135669058733],[-3.28424797884301 -86.7044665898850],[19.0742871081848 7693.63798311249],0.8,0.9,0.01
476,476,[4.39825828629044 4.72409132104505],183.227284525139,<built-in function sum>,0.0001,False,[-2.71352007063263 -85.7158676212821],[-3.17010239720094 -86.5067467961644],[17.9031775147389 7658.99518100816],0.8,0.9,0.01
477,477,[4.40572210238196 4.73397575984384],182.363807311994,<built-in function sum>,0.0001,False,[-2.61463819811866 -85.5181735790990],[-3.05900955738448 -86.3090321527513],[16.7964930539711 7624.43146413783],0.8,0.9,0.01
