,0,1,2,3,4,5,6,7,8,9
0,196,27,5,9,5,13,7,15,126,26
1,16,127,6,10,8,22,31,16,53,81
2,54,28,65,26,63,45,65,34,30,14
3,20,24,24,73,32,76,67,36,30,21
4,26,9,26,17,139,40,88,43,34,12
5,15,25,36,44,21,145,48,27,26,12
6,10,12,19,29,52,48,207,20,7,17
7,23,32,22,20,53,20,33,128,26,44
8,53,31,2,6,1,27,4,15,232,33
9,19,54,6,9,1,11,27,25,76,183
