,Estimate,Est.Error,Q2.5,Q97.5
Intercept,79.003549575,0.258396454206914,78.503065,79.5324125
log_price,2.808246955,0.0618332185213268,2.6889985,2.92782425
Crisp,-0.169683144096443,0.118200328224246,-0.4048378,0.0638835575
Full,0.3384603525175,0.0997688325690215,0.14399395,0.5365041
Rich,1.121623721,0.091536298077785,0.9415148,1.30367625
Soft,-0.7412813435,0.108923028839577,-0.954048275,-0.53183525
