,Estimate,Est.Error,Q2.5,Q97.5
Intercept,78.82068085,0.354162960259098,78.1296925,79.48621
log_price,2.86872679,0.107064129595392,2.6752095,3.10777825
Crisp,-0.16174666620725,0.114239470644836,-0.38441725,0.0621918974999994
Full,0.3393236387,0.101058648296266,0.147113675,0.5380121
Rich,1.1177776515,0.0922362497256245,0.9416138,1.2983575
Soft,-0.731282279,0.106614570860404,-0.94220095,-0.52253555
