,Estimate,Est.Error,Q2.5,Q97.5
Intercept,78.712540275,0.217542931055315,78.2901475,79.134255
log_price,2.90708593,0.0834055799768692,2.7485985,3.07832675
Crisp,-0.193418720037575,0.117343316257279,-0.4274423,0.0316767
Full,0.33867973596925,0.102576333997435,0.136561325,0.541220925
Rich,1.12122477425,0.0947356424737676,0.9320309,1.3069505
Soft,-0.74577742125,0.107915160556083,-0.954008025,-0.537615825
