,loss,accuracy,val_loss,val_accuracy
0,2.3200082778930664,0.11602578312158585,2.28983211517334,0.10999999940395355
1,2.183454751968384,0.1864858865737915,2.0427205562591553,0.25
2,2.024082899093628,0.24716603755950928,1.941196322441101,0.2980000078678131
3,1.9718737602233887,0.27139365673065186,1.9919863939285278,0.2840000092983246
4,1.924573540687561,0.2936207950115204,1.8689020872116089,0.33000001311302185
5,1.8589035272598267,0.3198488652706146,1.8159563541412354,0.3720000088214874
6,1.8112701177597046,0.3369637727737427,1.877866506576538,0.36800000071525574
7,1.7590103149414062,0.3538564145565033,1.7308381795883179,0.4259999990463257
8,1.7200766801834106,0.37008222937583923,1.7381391525268555,0.40400001406669617
9,1.7065316438674927,0.3860858082771301,1.6946748495101929,0.4359999895095825
10,1.6603049039840698,0.3965325653553009,1.7075258493423462,0.44200000166893005
11,1.6389334201812744,0.41075795888900757,1.6190400123596191,0.46799999475479126
12,1.6040141582489014,0.4200933575630188,1.6251264810562134,0.4560000002384186
13,1.587943196296692,0.4176483750343323,1.5953584909439087,0.4699999988079071
14,1.5730504989624023,0.42898422479629517,1.5998677015304565,0.45399999618530273
15,1.5469391345977783,0.4298733174800873,1.5713038444519043,0.47999998927116394
16,1.520908236503601,0.44543230533599854,1.5766777992248535,0.4819999933242798
17,1.5252684354782104,0.4420982301235199,1.570804476737976,0.4480000138282776
18,1.4920775890350342,0.46010223031044006,1.5709627866744995,0.4659999907016754
19,1.494553565979004,0.4518781900405884,1.5594098567962646,0.4560000002384186
