,0,1,2,3,4,5,6,7,8,9
0,396,1,1,1,0,0,1,1,2,1
1,0,363,2,0,1,0,2,1,1,0
2,2,0,395,3,19,0,8,3,0,0
3,0,0,4,380,8,0,12,3,0,1
4,0,1,0,0,416,0,1,1,0,0
5,1,0,2,3,7,373,16,2,0,1
6,0,0,4,0,5,0,411,0,0,0
7,0,0,0,1,6,0,2,399,1,0
8,3,0,0,0,2,0,0,0,405,1
9,0,0,0,0,1,0,4,0,0,415
