,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.5940054495912807,0.5123558484349259,0.640495867768595,0.5174825174825175,0.5971223021582733,0.5705521472392638,0.6836734693877551,0.4538216560509554,0.5722326454033771,0.5383177570093458,0.552490234375,0.568005966052629,0.5696739906465664
recall,0.529126213592233,0.8098958333333334,0.3530751708428246,0.3592233009708738,0.3952380952380952,0.4744897959183674,0.4740566037735849,0.7178841309823678,0.7512315270935961,0.7024390243902439,0.552490234375,0.556665969613552,0.552490234375
f1-score,0.5596919127086007,0.627648839556004,0.4552129221732745,0.42406876790830944,0.4756446991404011,0.5181058495821728,0.5598885793871866,0.5560975609756098,0.6496272630457934,0.6095238095238095,0.552490234375,0.5435510204001162,0.5421997593705464
support,412.0,384.0,439.0,412.0,420.0,392.0,424.0,397.0,406.0,410.0,0.552490234375,4096.0,4096.0
