"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",78.290078775,1.20496506202345,75.2603975,80.0119625
"log_price",-15.924071575,1.56825188694921,-19.1762575,-13.055335
"Crisp",-0.151264720205975,0.116754337993147,-0.379044575,0.0684798975
"Full",0.3513596636025,0.105878551997639,0.15284365,0.557415125
"Rich",1.101098096,0.096804409549327,0.914701275,1.2876485
"Soft",-0.72775786775,0.108460225390431,-0.941102775,-0.511216175
