,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9844961240310077,0.9944289693593314,0.9880952380952381,0.9828431372549019,0.9975490196078431,0.9950248756218906,0.9675925925925926,0.9950980392156863,0.8949671772428884,0.9903614457831326,0.977783203125,0.9790456618804514,0.9789261530758866
recall,0.943069306930693,0.9648648648648649,0.9651162790697675,0.9828431372549019,0.9713603818615751,0.9876543209876543,0.9952380952380953,0.9926650366748166,0.9951338199513382,0.9785714285714285,0.977783203125,0.9776516671405135,0.977783203125
f1-score,0.9633375474083439,0.9794238683127572,0.9764705882352942,0.9828431372549019,0.9842805320435309,0.9913258983890955,0.9812206572769953,0.9938800489596084,0.9423963133640553,0.9844311377245509,0.977783203125,0.9779609728969133,0.9779672030911735
support,404.0,370.0,430.0,408.0,419.0,405.0,420.0,409.0,411.0,420.0,0.977783203125,4096.0,4096.0
