,alpha,start,convergence_time,final_guess
0,0.01,1.0,101,0.33086845976494617
1,0.02,1.0,101,0.24007164093094552
2,0.03,1.0,96,0.20246438931984553
3,0.04,1.0,88,0.18351814678752884
4,0.05,1.0,82,0.1701842312237146
5,0.1,1.0,65,0.13477554038316067
6,0.499999999999999,1.0,54,-0.07927276655429545
7,0.5,1.0,101,1.0
8,0.7812500000000009,0.8,101,
9,0.7812499999999989,0.8,23,0.02478955297616703
10,0.8,0.7,32,-0.06706376406745493
