,alpha,start,gamma,$f(x)$,convergence time,final guess
0,1,1,0.01,0.01*x**2,100,0.13532607744362568
1,1,1,0.1,0.1*x**2,26,0.0037778931862957168
2,1,1,0.995,0.995*x**2,100,-0.3697296376497262
3,1,1,1.005,1.005*x**2,100,-2.6780334944767072
4,1,1,1.0,x**2,100,-1.0
5,1,1,-0.05,-0.05*x**2,100,12527.829399838432
6,1,1,-1000.0,-1000*x**2,95,inf
