,0,1,2,3,4,5,6,7,8,9
0,323,3,21,3,5,3,5,5,49,12
1,4,324,3,2,1,2,4,3,8,19
2,3,0,312,22,21,25,14,9,10,8
3,2,3,8,304,12,36,14,5,9,10
4,7,0,50,31,263,20,27,27,4,5
5,1,3,9,18,7,333,10,15,2,1
6,4,9,9,21,11,16,326,11,5,9
7,2,6,3,12,11,15,4,340,3,5
8,16,6,6,4,2,3,1,2,347,17
9,6,12,3,3,1,8,4,7,5,362
