,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9808153477218226,0.9947916666666666,0.9853658536585366,0.9873737373737373,0.954337899543379,0.9752475247524752,0.9443155452436195,0.9876543209876543,0.9927536231884058,0.9924433249370277,0.97900390625,0.9795098844073327,0.9793074917453941
recall,0.9903147699757869,0.9973890339425587,0.9330254041570438,0.9702233250620348,0.9743589743589743,0.9752475247524752,0.9951100244498777,0.9852216748768473,0.9879807692307693,0.985,0.97900390625,0.9793871500806368,0.97900390625
f1-score,0.9855421686746988,0.9960886571056062,0.9584816132858838,0.9787234042553192,0.9642445213379469,0.9752475247524752,0.969047619047619,0.9864364981504314,0.9903614457831326,0.9887076537013803,0.97900390625,0.9792881106094494,0.9789909567435655
support,413.0,383.0,433.0,403.0,429.0,404.0,409.0,406.0,416.0,400.0,0.97900390625,4096.0,4096.0
