,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.47306791569086654,0.5224719101123596,0.4274193548387097,0.3941176470588235,0.46629213483146065,0.4533762057877814,0.4979757085020243,0.521505376344086,0.44904458598726116,0.5386363636363637,0.475341796875,0.4743907202789737,0.47393755594809084
recall,0.5,0.5027027027027027,0.3697674418604651,0.3284313725490196,0.39618138424821003,0.34814814814814815,0.5857142857142857,0.4743276283618582,0.6861313868613139,0.5642857142857143,0.475341796875,0.47556900647317174,0.475341796875
f1-score,0.4861612515042118,0.512396694214876,0.39650872817955113,0.3582887700534759,0.42838709677419357,0.3938547486033519,0.5382932166301969,0.4967989756722151,0.5428296438883542,0.5511627906976744,0.475341796875,0.47046819162181003,0.47010428424431905
support,404.0,370.0,430.0,408.0,419.0,405.0,420.0,409.0,411.0,420.0,0.475341796875,4096.0,4096.0
