,0,1,2,3,4,5,6,7,8,9
0,220,34,9,4,5,9,3,14,107,13
1,21,208,2,7,3,12,15,12,36,62
2,44,19,159,16,24,36,46,38,29,11
3,21,26,25,99,9,73,59,21,35,24
4,32,9,69,16,114,34,75,43,22,9
5,16,19,41,38,4,163,47,26,29,8
6,7,17,29,33,21,36,247,10,12,13
7,30,21,24,14,20,43,21,184,19,27
8,59,21,6,4,2,14,4,7,281,26
9,24,79,1,12,1,9,14,7,56,217
