,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
0,adam,relu,0,[0.164692930918157],[0.00953861686847897],100,0.0001,False,[1],[0.],[0.],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],100
1,adam,relu,1,[0.164692930918157],[0.999900009999000],99.9000099990001,0.0001,False,[1],[0.100000000000000],[0.750000000000000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.9000099990001
2,adam,relu,2,[0.164692930918157],[0.999900009999000],99.8000199980002,0.0001,False,[1],[0.190000000000000],[0.937500000000000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.8000199980002
3,adam,relu,3,[0.164692930918157],[0.999900009999000],99.7000299970003,0.0001,False,[1],[0.271000000000000],[0.984375000000000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.7000299970003
4,adam,relu,4,[0.164692930918157],[0.999900009999000],99.6000399960004,0.0001,False,[1],[0.343900000000000],[0.996093750000000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.6000399960004
5,adam,relu,5,[0.164692930918157],[0.999900009999000],99.5000499950005,0.0001,False,[1],[0.409510000000000],[0.999023437500000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.5000499950005
6,adam,relu,6,[0.164692930918157],[0.999900009999000],99.4000599940006,0.0001,False,[1],[0.468559000000000],[0.999755859375000],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.4000599940006
7,adam,relu,7,[0.164692930918157],[0.999900009999000],99.3000699930007,0.0001,False,[1],[0.521703100000000],[0.999938964843750],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.3000699930007
8,adam,relu,8,[0.164692930918157],[0.999900009999000],99.2000799920008,0.0001,False,[1],[0.569532790000000],[0.999984741210938],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.2000799920008
9,adam,relu,9,[0.164692930918157],[0.999900009999000],99.1000899910009,0.0001,False,[1],[0.612579511000000],[0.999996185302734],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.1000899910009
10,adam,relu,10,[0.164692930918157],[0.999900009999000],99.0000999900010,0.0001,False,[1],[0.651321559900000],[0.999999046325684],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],99.0000999900010
11,adam,relu,11,[0.164692930918157],[0.999900009999000],98.9001099890012,0.0001,False,[1],[0.686189403910000],[0.999999761581421],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],98.9001099890012
