,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
39,heavy_ball,g,39,38.4444444444444,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.15555555555556
40,heavy_ball,g,40,37.1111111111111,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.28888888888889
41,heavy_ball,g,41,35.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.42222222222223
42,heavy_ball,g,42,34.4444444444444,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.55555555555556
43,heavy_ball,g,43,33.1111111111111,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.68888888888889
44,heavy_ball,g,44,31.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.82222222222223
45,heavy_ball,g,45,30.4444444444444,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,5.95555555555556
46,heavy_ball,g,46,29.1111111111110,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.08888888888890
47,heavy_ball,g,47,27.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.22222222222223
48,heavy_ball,g,48,26.4444444444444,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.35555555555556
49,heavy_ball,g,49,25.1111111111110,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.48888888888890
50,heavy_ball,g,50,23.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.62222222222223
51,heavy_ball,g,51,22.4444444444444,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.75555555555556
52,heavy_ball,g,52,21.1111111111110,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,6.88888888888890
53,heavy_ball,g,53,19.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.02222222222223
54,heavy_ball,g,54,18.4444444444443,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.15555555555557
55,heavy_ball,g,55,17.1111111111110,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.28888888888890
56,heavy_ball,g,56,15.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.42222222222223
57,heavy_ball,g,57,14.4444444444443,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.55555555555557
58,heavy_ball,g,58,13.1111111111110,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.68888888888890
59,heavy_ball,g,59,11.7777777777777,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.82222222222223
60,heavy_ball,g,60,10.4444444444443,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,7.95555555555557
61,heavy_ball,g,61,9.11111111111099,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.08888888888890
62,heavy_ball,g,62,7.77777777777766,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.22222222222223
63,heavy_ball,g,63,6.44444444444433,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.35555555555557
64,heavy_ball,g,64,5.11111111111100,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.48888888888890
65,heavy_ball,g,65,3.77777777777768,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.62222222222223
66,heavy_ball,g,66,2.44444444444435,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.75555555555557
67,heavy_ball,g,67,1.11111111111102,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,8.88888888888890
68,heavy_ball,g,68,0.222222222222310,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333333333],0,9.02222222222223
69,heavy_ball,g,69,0.444444444444354,0.0001,,[0 10],,,0.25,0.5,0.01,,[0 0.0666666666666667],0,8.95555555555556
