,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,2685,0.0001,False,[-1500 -180],[0. 0.],[0. 0.],0.9,0.5,0.01,,,0,0
1,adam,f,1,2668.24594202290,0.0001,False,[-1500 -180],[-150.000000000000 -18.0000000000000],[1125000.00000000 16200.0000000000],0.9,0.5,0.01,,,0.00999999933333338,0.00999999444444753
2,adam,f,2,2651.57079843796,0.0001,False,[-1491.01798859760 -179.800000111111],[-284.101798859760 -34.1800000111111],[1674067.32116082 24264.0200199778],0.9,0.5,0.01,,,0.0200083963748857,0.0200015481192524
3,adam,f,3,2634.96732866380,0.0001,False,[-1482.06440760823 -179.599969037615],[-403.898059734608 -48.7219969137615],[1935291.11472998 28260.0844491450],0.9,0.5,0.01,,,0.0300299100163054,0.0300055288434181
4,adam,f,4,2618.43006864924,0.0001,False,[-1473.13507920448 -179.399889423132],[-510.821761681595 -61.7897861646985],[2052709.03815639 30222.2023870884],0.9,0.5,0.01,,,0.0400681858760363,0.0400125970060861
5,adam,f,5,2601.95534949236,0.0001,False,[-1464.22684349085 -179.199748059878],[-606.162269862521 -73.5307823542165],[2098334.64367779 31167.3760459061],0.9,0.5,0.01,,,0.0501257507335972,0.0500231984394870
6,adam,f,6,2585.54105362927,0.0001,False,[-1455.33757935330 -178.999536031210],[-691.079800811598 -84.0776577219158],[2108171.05677785 31604.1049726473],0.9,0.5,0.01,,,0.0602041428206145,0.0600375911430837
7,adam,f,7,2569.18625876780,0.0001,False,[-1446.46606990072 -178.799248177138],[-766.618427720510 -93.5498167674381],[2100217.57407594 31786.6380606786],0.9,0.5,0.01,,,0.0703041234027035,0.0700558871263079
8,adam,f,8,2552.89088488642,0.0001,False,[-1437.61179961492 -178.598882257474],[-833.717764909951 -102.054723316442],[2083472.63023399 31842.0994021488],0.9,0.5,0.01,,,0.0804258942368699,0.0800780947246712
9,adam,f,9,2536.65540327888,0.0001,False,[-1428.77475094095 -178.398438105507],[-893.223463513051 -109.689094795348],[2062434.95958018 31834.0510603165],0.9,0.5,0.01,,,0.0905692805142605,0.0901041537674430
10,adam,f,10,2520.48062243718,0.0001,False,[-1419.95523550585 -178.197916924651],[-945.896640712331 -116.539977008278],[2039353.91521033 31794.2743283007],0.9,0.5,0.01,,,0.100733867491104,0.100133961556262
11,adam,f,11,2504.36754203970,0.0001,False,[-1411.15376929289 -177.997320768875],[-992.422353570387 -122.685711384338],[2015354.43789994 31738.6602645992],0.9,0.5,0.01,,,0.110919094828313,0.110167390612068
12,adam,f,12,2488.31725851713,0.0001,False,[-1402.37098714990 -177.796652187759],[-1033.41721692834 -128.196805464680],[1990999.41174986 31675.1548968870],0.9,0.5,0.01,,,0.121124318342884,0.120204300163371
13,adam,f,13,2472.33090618375,0.0001,False,[-1393.60758725577 -177.595913996733],[-1069.43625396108 -133.136716317885],[1966570.75950335 31607.7317826109],0.9,0.5,0.01,,,0.131348849013889,0.130244543313432
14,adam,f,14,2456.40962143409,0.0001,False,[-1384.86429632826 -177.395109133731],[-1100.97905819780 -137.562555599470],[1942209.93937406 31538.3782635897],0.9,0.5,0.01,,,0.141591977100241,0.140287971405466
15,adam,f,15,2440.55452129120,0.0001,False,[-1376.14184832524 -177.194240571891],[-1128.49533721054 -141.525724096712],[1917988.16304303 31468.0885777194],0.9,0.5,0.01,,,0.151852986927654,0.150334436646333
16,adam,f,16,2424.76669064450,0.0001,False,[-1367.44097156312 -176.993311267073],[-1152.38990064580 -145.072482813748],[1893941.48687626 31397.3604055012],0.9,0.5,0.01,,,0.162131165995697,0.160383793677937
17,adam,f,17,2409.04717466771,0.0001,False,[-1358.76238094166 -176.792324126441],[-1173.02714867539 -148.244466945017],[1870088.34736925 31326.4431377650],0.9,0.5,0.01,,,0.172425810687574,0.170435900523296
18,adam,f,18,2393.39697431223,0.0001,False,[-1350.10677321738 -176.591281989534],[-1190.73511112959 -151.079148449469],[1846438.32322835 31255.4620062360],0.9,0.5,0.01,,,0.182736229960740,0.180490619163029
19,adam,f,19,2377.81704364327,0.0001,False,[-1341.47482408866 -176.390187616739],[-1205.80908242549 -153.610252366196],[1822996.51344602 31184.4801468523],0.9,0.5,0.01,,,0.193061747829517,0.190547815891792
20,adam,f,20,2362.30828830746,0.0001,False,[-1332.86718636682 -176.189043682164],[-1218.51489281963 -155.868131497793],[1799765.72496972 31113.5296302439],0.9,0.5,0.01,,,0.203401705108510,0.200607361540656
21,adam,f,21,2346.87156472514,0.0001,False,[-1324.28448881451 -175.987852769187],[-1229.09185241911 -157.880103624932],[1776747.56614222 31042.6269762765],0.9,0.5,0.01,,,0.213755460684495,0.210669131614412
22,adam,f,22,2331.50767977376,0.0001,False,[-1315.72733541168 -175.786617367712],[-1237.75540071837 -159.670754999210],[1753942.99364587 30971.7809109294],0.9,0.5,0.01,,,0.224122392468822,0.220733006371696
23,adam,f,23,2316.21739082683,0.0001,False,[-1307.19630491239 -175.585339872566],[-1244.69949113777 -161.262213486546],[1731352.58661124 30900.9962445470],0.9,0.5,0.01,,,0.234501898117090,0.230798870863958
24,adam,f,24,2301.00140606663,0.0001,False,[-1298.69195061318 -175.384022582721],[-1250.09873708531 -162.674394396163],[1708976.68459935 30830.2758109216],0.9,0.5,0.01,,,0.244893395566572,0.240866614942777
25,adam,f,25,2285.86038501868,0.0001,False,[-1290.21480028597 -175.182667701144],[-1254.11034340538 -163.925221726661],[1686815.45773815 30759.6214369056],0.9,0.5,0.01,,,0.255296323421990,0.250936133241427
26,adam,f,26,2270.79493927229,0.0001,False,[-1281.76535624583 -174.981277335171],[-1256.87584468942 -165.030827287512],[1664868.94310507 30689.0344273769],0.9,0.5,0.01,,,0.265710141209573,0.261007325134688
27,adam,f,27,2255.80563336010,0.0001,False,[-1273.34409553356 -174.779853497306],[-1258.52266977384 -166.005729908492],[1643137.06436762 30618.5158079584],0.9,0.5,0.01,,,0.276134329513640,0.271080094679835
28,adam,f,28,2240.89298577447,0.0001,False,[-1264.95147019822 -174.578398106403],[-1259.16554981628 -166.862996728283],[1621619.64316212 30548.0664466781],0.9,0.5,0.01,,,0.286568390006990,0.281154350541187
29,adam,f,29,2226.05747010165,0.0001,False,[-1256.58790766738 -174.376912989176],[-1258.90778560139 -167.614388354372],[1600316.40642900 30477.6871151564],0.9,0.5,0.01,,,0.297011845384897,0.291230005900273
30,adam,f,30,2211.29951625605,0.0001,False,[-1248.25381119460 -174.175399881995],[-1257.84238816071 -168.270489507135],[1579226.99179542 30407.3785196046],0.9,0.5,0.01,,,0.307464239211670,0.301306978353501
