,iteration,x,f(x),sum,epsilon,converged,gradient,alpha_n
0,0,[4 8],13,[0. 0.],0.0001,False,[-12 -20],[0.01 0.01]
1,1,[4.12000000000000 8.20000000000000],8.19908608000001,[14.4000000000000 40.0000000000000],0.0001,False,[-12 -20],[0.00263516194085918 0.00158111383047947]
2,2,[4.14154946893793 8.22529782128767],7.63086447255425,[19.6474188496896 61.6000000000000],0.0001,False,[-8.17766400000000 -16.0000000000000],[0.00225599145534964 0.00127410174503466]
3,3,[4.15867580719348 8.24503880924326],7.20271862206372,[23.4457501388421 79.4465386280652],0.0001,False,[-7.59149074564507 -15.4940435742466],[0.00206518501300083 0.00112190901404315]
4,4,[4.17343390360894 8.26197876454651],6.84708734897404,[26.2079034838055 94.3005407472121],0.0001,False,[-7.14613766929212 -15.0992238151348],[0.00195332890339586 0.00102976573364338]
5,5,[4.18667089801813 8.27717854412594],6.53747210222312,[28.1793895209002 106.657500431702],0.0001,False,[-6.77663366685499 -14.7604247090697],[0.00188376198615077 0.000968278065872352]
6,6,[4.19883293196688 8.29117638735123],6.26029531053632,[29.5297639766134 116.890584671408],0.0001,False,[-6.45624767787236 -14.4564291174813],[0.00184018726228339 0.000924924359762559]
7,7,[4.21018859597715 8.30428855187351],6.00753119798409,[30.3848234261839 125.298762758205],0.0001,False,[-6.17092849353474 -14.1764722529754],[0.00181411060812834 0.000893352236259923]
8,8,[4.22091403824452 8.31671885943302],5.77398688862966,[30.8417894658063 132.129463244555],0.0001,False,[-5.91223171250988 -13.9142289625299],[0.00180062135223332 0.000869954194577481]
9,9,[4.23113189426224 8.32860732531925],5.55608516081487,[30.9777506081784 137.591441602281],0.0001,False,[-5.67462781947219 -13.6656228113397],[0.00179666562043647 0.000852512169274537]
10,10,[4.24093139705717 8.34005473382980],5.35124550381217,[30.8548837357954 141.863022386651],0.0001,False,[-5.45427189314470 -13.4278534936149],[0.00180023924255065 0.000839579352574130]
11,11,[4.25037971621935 8.35113626221591],5.15753939812541,[30.5239326869863 145.097830321605],0.0001,False,[-5.24836862726930 -13.1989053234041],[0.00180997216375849 0.000830167897822829]
12,12,[4.25952879000868 8.36190957911930],4.97348466888917,[30.0266545216314 147.429013297890],0.0001,False,[-5.05481463888016 -12.9772747556818],[0.00182489802401861 0.000823578392252952]
13,13,[4.26841966245344 8.37241992877812],4.79791601679850,[29.3976110622137 148.972487376889],0.0001,False,[-4.87198316165549 -12.7618084176140],[0.00184431870240781 0.000819300853364504]
14,14,[4.27708535527011 8.38270346653625],4.62989989018335,[28.6655224134174 149.829508470995],0.0001,False,[-4.69858750841680 -12.5516014244376],[0.00186772081149591 0.000816954321829650]
15,15,[4.28555283707837 8.39278952795353],4.46867647138478,[27.8543146875618 150.088758032949],0.0001,False,[-4.53359075732044 -12.3459306692749],[0.00189472215064603 0.000816248456642809]
16,16,[4.29384441385250 8.40270222016683],4.31361893481018,[26.9839467586421 149.828064524171],0.0001,False,[-4.37614389598471 -12.1442094409295],[0.00192503621414105 0.000816958258428988]
17,17,[4.30197873560769 8.41246156724635],4.16420409261201,[26.0710727693370 149.115843583499],0.0001,False,[-4.22554219782407 -11.9459555966634],[0.00195844799441371 0.000818906934314974]
18,18,[4.30997154118286 8.42208435318152],4.01999077304783,[25.1295796768351 148.012315623653],0.0001,False,[-4.08119367885394 -11.7507686550730],[0.00199479708241252 0.000821953981913026]
19,19,[4.31783621976759 8.43158475452377],3.88060358534652,[24.1710278677397 146.570543854793],0.0001,False,[-3.94259579286055 -11.5583129363696],[0.00203396561613663 0.000825986716593320]
20,20,[4.32558424137036 8.44097482336922],3.74572052143651,[23.2050153572658 144.837325120906],0.0001,False,[-3.80931788684019 -11.3683049095247],[0.00207586953067400 0.000830914128474625]
21,21,[4.33322549173120 8.45026486171793],3.61506334506879,[22.2394809200681 142.853958533098],0.0001,False,[-3.68098777304251 -11.1805035326157],[0.00212045210634082 0.000836662351280736]
22,22,[4.34076853635731 8.45946371558546],3.48839004170352,[21.2809578530221 140.656911570269],0.0001,False,[-3.55728130032020 -10.9947027656414],[0.00216767914828643 0.000843171268847947]
23,23,[4.34822083117086 8.46857900888122],3.36548881603589,[20.3347874370422 138.278399403989],0.0001,False,[-3.43791414861160 -10.8107256882907],[0.00221753534517033 0.000850391939111740]
24,24,[4.35558889238064 8.47761733142367],3.24617326834170,[19.4052992248987 135.746890255657],0.0001,False,[-3.32263529680986 -10.6284198223755],[0.00227002149401066 0.000858284615137721]
25,25,[4.36287843481562 8.48658439157674],3.13027848027780,[18.4959638266182 133.087547327248],0.0001,False,[-3.21122176781584 -10.4476533715267],[0.00232515237104760 0.000866817208733004]
26,26,[4.37009448558391 8.49548514126901],3.01765781053556,[17.6095227547159 130.322616073428],0.0001,False,[-3.10347436071166 -10.2683121684652],[0.00238295509130529 0.000875964086663626]
27,27,[4.37724147822365 8.50432387921774],2.90818025047162,[16.7480990337890 127.471764173300],0.0001,False,[-2.99921415464898 -10.0902971746198],[0.00244346784285673 0.000885705120039069]
28,28,[4.38432333128057 8.51310433677890],2.80172822580595,[15.9132916073684 124.552380424520],0.0001,False,[-2.89827962239378 -9.91352241564522],[0.00250673891213565 0.000896024928723489]
29,29,[4.39134351434265 8.52182974981757],2.69819575684054,[15.1062560429940 121.579837856608],0.0001,False,[-2.80052423014409 -9.73791326442205],[0.00257282593819997 0.000906912277710375]
30,30,[4.39830510388863 8.53050291923209],2.59748690921716,[14.3277736109218 118.567725597329],0.0001,False,[-2.70581442864664 -9.56340500364863],[0.00264179534937996 0.000918359593217525]
31,31,[4.40521083080117 8.53912626219431],2.49951448191790,[13.5783104683175 115.528053391579],0.0001,False,[-2.61402796176300 -9.38994161535814],[0.00271372194707026 0.000930362574123476]
