,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,g,0,,,11,0.0001,,[1 10],,,0.25,0.5,0.05,,0,6,10
1,heavy_ball,g,1,,,5.95000000000000,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0500000000000000 0.500000000000000],5.95000000000000,9.50000000000000
2,heavy_ball,g,2,,,2.13750000000000,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0625000000000000 0.625000000000000],5.88750000000000,8.87500000000000
3,heavy_ball,g,3,,,3.00937500000000,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0656250000000000 -0.343750000000000],5.82187500000000,9.21875000000000
4,heavy_ball,g,4,,,2.70859375000000,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0664062500000000 0.414062500000000],5.75546875000000,8.80468750000000
5,heavy_ball,g,5,,,2.70058593750000,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666015625000000 -0.396484375000000],5.68886718750000,9.20117187500000
6,heavy_ball,g,6,,,2.61928710937500,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666503906250000 0.400878906250000],5.62221679687500,8.80029296875000
7,heavy_ball,g,7,,,2.55628662109375,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666625976562500 -0.399780273437500],5.55555419921875,9.20007324218750
8,heavy_ball,g,8,,,2.48870544433594,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666656494140625 0.400054931640625],5.48888854980469,8.80001831054688
9,heavy_ball,g,9,,,2.42226791381836,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666664123535156 -0.399986267089844],5.42222213745117,9.20000457763672
10,heavy_ball,g,10,,,2.35554409027100,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666666030883789 0.400003433227539],5.35555553436279,8.80000114440918
11,heavy_ball,g,11,,,2.28889174461365,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666666507720947 -0.399999141693115],5.28888888359070,9.20000028610229
12,heavy_ball,g,12,,,2.22222150564194,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666666626930237 0.400000214576721],5.22222222089768,8.80000007152557
13,heavy_ball,g,13,,,2.15555573403835,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666666656732559 -0.399999946355820],5.15555555522442,9.20000001788139
14,heavy_ball,g,14,,,2.08888884410262,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666666664183140 0.400000013411045],5.08888888880611,8.80000000447035
15,heavy_ball,g,15,,,2.02222223337740,0.0001,,[1 -10],,,0.25,0.5,0.05,,[0.0666666666045785 -0.399999996647239],5.02222222220153,9.20000000111759
16,heavy_ball,g,16,,,1.99999999720603,0.0001,,[1 10],,,0.25,0.5,0.05,,[0.0666666666511446 0.400000000838190],4.95555555555038,8.80000000027940
17,heavy_ball,g,17,,,2.00000000069849,0.0001,,[0 -10],,,0.25,0.5,0.05,,[0.0166666666627862 -0.399999999790452],4.93888888888760,9.20000000006985
18,heavy_ball,g,18,,,1.99999999982538,0.0001,,[0 10],,,0.25,0.5,0.05,,[0.00416666666569654 0.400000000052387],4.93472222222190,8.80000000001746
19,heavy_ball,g,19,,,2.00000000004366,0.0001,,[0 -10],,,0.25,0.5,0.05,,[0.00104166666642413 -0.399999999986903],4.93368055555548,9.20000000000437
20,heavy_ball,g,20,,,1.99999999998909,0.0001,,[0 10],,,0.25,0.5,0.05,,[0.000260416666606034 0.400000000003274],4.93342013888887,8.80000000000109
