,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,f,0,13,0.0001,,[-12 -20],,,0.9,0.5,0.1,,0,4,8
1,heavy_ball,f,1,10.0048000000000,0.0001,,[-12 -20],,,0.9,0.5,0.1,,[-1.20000000000000 -2.00000000000000],5.20000000000000,10.0000000000000
2,heavy_ball,f,2,14.2141761145275,0.0001,,[0.0960000000000003 20.0000000000000],,,0.9,0.5,0.1,,[-1.07040000000000 0.200000000000000],6.27040000000000,9.80000000000000
3,heavy_ball,f,3,9.61191291469571,0.0001,,[24.6038290759680 16.0000000000000],,,0.9,0.5,0.1,,[1.49702290759680 1.78000000000000],4.77337709240320,8.02000000000000
