,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,,,13,0.0001,False,[12 20],[0. 0.],[0. 0.],0.9,0.5,0.25,,,6,10
1,adam,f,1,,[0.999991666736111 0.999995000025000],6.57424804675292,0.0001,False,[12 20],[1.20000000000000 2.00000000000000],[72.0000000000000 200.000000000000],0.9,0.5,0.25,,,5.75000208331597,9.75000124999375
2,adam,f,2,,[1.03483062668784 1.03183170710105],2.59584505935339,0.0001,False,[5.06254218726562 15.0000249998750],[1.58625421872656 3.30000249998750],[48.8146666989221 212.500374998437],0.9,0.5,0.25,,,5.49129442664401,9.49204332321849
3,adam,f,3,,[1.07478273649374 1.09741964419359],0.481248114942525,0.0001,False,[1.42300608869809 9.84086646436975],[1.56992940572371 3.95408889642572],[25.4198065136970 154.671513883997],0.9,0.5,0.25,,,5.22259874252058,9.21768841217009
4,adam,f,4,,[1.12588213505598 1.20689584437179],0.0706557719624738,0.0001,False,[0.132357746998472 4.35376824340179],[1.42617223985119 3.99405683112333],[12.7186625434437 86.8134059006256],0.9,0.5,0.25,,,4.94112820875658,8.91596445107714
5,adam,f,5,,[1.22306687270041 1.23016761340590],1.58636508735865,0.0001,False,[-0.00244851627938975 -1.68071097845714],[1.28331016423813 3.42658005016528],[6.35933426933785 44.8190976468660],0.9,0.5,0.25,,,4.63536149058148,8.60842254772567
6,adam,f,6,,[1.26901907697112 0.668702789196230],3.77066568029473,0.0001,False,[-0.581793471530605 -7.83154904548664],[1.09679980066126 2.30076714060009],[3.34890895642674 53.0761290493643],0.9,0.5,0.25,,,4.31810672133870,8.44124685042661
7,adam,f,7,,[0.387960085880091 0.192930867120336],4.78842455697632,0.0001,False,[-3.80478810400518 -11.1750629914678],[0.606641010194615 0.953184127393303],[8.91266073640304 88.9790809563188],0.9,0.5,0.25,,,4.22111669986868,8.39301413364653
8,adam,f,8,,[-0.00813800220594456 -0.0574040091485875],4.60477605305176,0.0001,False,[-5.67020059236797 -12.1397173270695],[-0.0210431500616440 -0.356106018052976],[20.5319177470466 118.175908868735],0.9,0.5,0.25,,,4.22315120042016,8.40736513593367
9,adam,f,9,,[-0.185663768703450 -0.215930913874956],3.75543092646133,0.0001,False,[-5.62588360861757 -11.8526972813266],[-0.581527195917237 -1.50576514438033],[26.0912420623792 129.331170855750],0.9,0.5,0.25,,,4.26956714259602,8.46134786440241
10,adam,f,10,,[-0.310555540403488 -0.336997710652920],2.60960403257940,0.0001,False,[-4.67651303452025 -10.7730427119518],[-0.991025779777538 -2.43249290113748],[23.9805081122085 122.694810064644],0.9,0.5,0.25,,,4.34720602769690,8.54559729206564
11,adam,f,11,,[-0.426139375608510 -0.445520449037727],1.44377096434948,0.0001,False,[-3.33817924743741 -9.08805415868721],[-1.22574112654352 -3.09804902689245],[17.5619744001151 102.643769227938],0.9,0.5,0.25,,,4.45374087159902,8.65697740432507
12,adam,f,12,,[-0.553389577151489 -0.559543175913960],0.495704477882041,0.0001,False,[-1.95603836366649 -6.86045191349854],[-1.29877085025582 -3.47428931555306],[10.6940302401251 74.8547848426818],0.9,0.5,0.25,,,4.59208826588690,8.79686319830356
13,adam,f,13,,[-0.703443459457505 -0.700861956169294],0.0164946909929413,0.0001,False,[-0.814478907090534 -4.06273603392876],[-1.25034165593929 -3.53313398739063],[5.67870306511025 45.6803044620325],0.9,0.5,0.25,,,4.76794913075127,8.97207868734588
14,adam,f,14,,[-0.875645226138019 -0.874840915473471],0.364004194924198,0.0001,False,[-0.149944605125853 -0.558426253082303],[-1.14030195085795 -3.23566321395980],[2.85059322485830 22.9960721710820],0.9,0.5,0.25,,,4.98686043728578,9.19078891621425
15,adam,f,15,,[-1.08240017579945 -0.735337787508860],1.41660810311666,0.0001,False,[-2.72222477613061e-5 3.81577832428505],[-1.02627447799693 -2.53051906013531],[1.42529661279967 18.7781181955828],0.9,0.5,0.25,,,5.25746048123564,9.37462336309147
16,adam,f,16,,[-1.29414446952274 -0.306484858911208],2.37805097127376,0.0001,False,[0.204791994698025 7.49246726182935],[-0.903167830727434 -1.52822042793885],[0.733618186946035 37.4575919325837],0.9,0.5,0.25,,,5.58099659861633,9.45124457781927
17,adam,f,17,,[-0.391354427993364 -0.0736070120858437],2.84273433676158,0.0001,False,[2.35343395796090 9.02489155638537],[-0.577507651858601 -0.472909229506425],[3.13613479071477 59.4531297685498],0.9,0.5,0.25,,,5.67883520561467,9.46964633084073
18,adam,f,18,,[-0.0578773805719200 0.0703339961126884],2.73674244688425,0.0001,False,[3.75382756092112 9.39292661681461],[-0.144374130580629 0.513674355125678],[8.61367807392288 73.8401000987070],0.9,0.5,0.25,,,5.69330455075765,9.45206283181256
19,adam,f,19,,[0.0889851506359490 0.179118923892520],2.26715736762238,0.0001,False,[3.99901836538012 9.04125663625115],[0.269965119015446 1.36643258323822],[12.3029129802852 77.7922108306312],0.9,0.5,0.25,,,5.67105826309866,9.40728310083943
