,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,,,13,0.0001,False,[12 20],[0. 0.],[0. 0.],0.9,0.9,0.1,,,6,10
1,adam,f,1,,[0.999991666736111 0.999995000025000],10.0683162899069,0.0001,False,[12 20],[1.20000000000000 2.00000000000000],[14.4000000000000 40.0000000000000],0.9,0.9,0.1,,,5.90000083332639,9.90000049999750
2,adam,f,2,,[0.987764651063929 0.998608749418567],7.63857400118553,0.0001,False,[8.74802429981999 18.0000099999500],[1.95480242998200 3.60000099999500],[20.6127929150241 68.4000359998300],0.9,0.9,0.1,,,5.80122436822000,9.80013962505564
3,adam,f,3,,[0.965405273942033 0.995869603471835],5.64751341011111,0.0001,False,[6.17225263924687 16.0027925011129],[2.37654745090849 4.84028015010678],[22.3611838877907 87.1689691832144],0.9,0.9,0.1,,,5.70468384082579,9.70055266470846
4,adam,f,4,,[0.932630950724198 0.991305670251414],4.03634395395788,0.0001,False,[4.19917703203170 14.0110532941692],[2.55881040902081 5.75735746451302],[21.8883742736459 98.0830337060979],0.9,0.9,0.1,,,5.61142074575337,9.60142209768332
5,adam,f,5,,[0.890524192099328 0.984267854965284],2.75341477168983,0.0001,False,[2.74284810289366 12.0284419536663],[2.57721417840809 6.38446591342836],[20.4518584178360 102.743071918760],0.9,0.9,0.1,,,5.52236832654344,9.50299531218679
6,adam,f,6,,[0.841380126084967 0.973862702447121],1.75583172622217,0.0001,False,[1.71045539724088 10.0599062437358],[2.49053830029137 6.75200994645910],[18.6992383426475 102.588936090160],0.9,0.9,0.1,,,5.43823031393494,9.40560904194208
7,adam,f,7,,[0.788153306777007 0.958866496701364],1.00934134577632,0.0001,False,[1.00992353702768 8.11218083884154],[2.34247682396500 6.88802703569734],[16.9313090634470 98.9107902773504],0.9,0.9,0.1,,,5.35941498325724,9.30972239227194
8,adam,f,8,,[0.733786661843621 0.937626606819698],0.486468010543502,0.0001,False,[0.557146978972240 6.19444784543879],[2.16394383946573 6.81866911667149],[15.2692194327201 92.8568296606015],0.9,0.9,0.1,,,5.28603631707288,9.21595973158997
9,adam,f,9,,[0.680709033538619 0.907974684047338],0.163427214144934,0.0001,False,[0.280830826866835 4.31919463179941],[1.97563253820584 6.56872166818428],[13.7501840847799 85.4366909212778],0.9,0.9,0.1,,,5.21796541371902,9.12516226318524
10,adam,f,10,,[0.630613080963178 0.867214163339109],0.0165043077324344,0.0001,False,[0.124263620964341 2.50324526370474],[1.79049564648169 6.16217402773633],[12.3767098210515 77.5196455141760],0.9,0.9,0.1,,,5.15490410562270,9.03844084685133
11,adam,f,11,,[0.584461209670141 0.812303363447401],0.0185691053310122,0.0001,False,[0.0446036122546745 0.768816937026543],[1.61590644305899 5.62283831866535],[11.1392377871689 69.8267889110243],0.9,0.9,0.1,,,5.09645798465569,8.95721051050659
12,adam,f,12,,[0.542609093529532 0.740404123807461],0.136501771255307,0.0001,False,[0.0107695063656816 -0.855789789868282],[1.45539274938966 4.97497550781199],[10.0253256066788 62.9173476363662],0.9,0.9,0.1,,,5.04219707530273,8.88317009812584
13,adam,f,13,,[0.504957152017877 0.649900102310743],0.330584818607720,0.0001,False,[0.000901629885951042 -2.33659803748321],[1.30994363743929 4.24381815328247],[9.02279312730453 57.1715819116066],0.9,0.9,0.1,,,4.99170136010095,8.81818008789477
14,adam,f,14,,[0.471082733384818 0.541662781881119],0.556923093429245,0.0001,False,[-6.85807144796138e-6 -3.63639824210469],[1.17894858788821 3.45579651374375],[8.12051381457879 52.7767629379641],0.9,0.9,0.1,,,4.94459308676246,8.76401380970665
15,adam,f,15,,[0.440338301477603 0.419831341366806],0.772962798250102,0.0001,False,[-0.00204114150527819 -4.71972380586692],[1.06084961494886 2.63824448178268],[7.30846284974677 49.7266659245344],0.9,0.9,0.1,,,4.90055925661470,8.72203067556997
16,adam,f,16,,[0.411918144212074 0.291264837551680],0.944251804503967,0.0001,False,[-0.0117997914843559 -5.55938648860052],[0.953584674305542 1.81848138474436],[6.57763048828000 47.8446771450444],0.9,0.9,0.1,,,4.85936744219350,8.69290419181481
17,adam,f,17,,[0.384902884571550 0.163672975896001],1.04937214850501,0.0001,False,[-0.0333763524775963 -6.14191616370388],[0.854888571627228 1.02244162989954],[5.91997883754247 46.8325228467367],0.9,0.9,0.1,,,4.82087715373634,8.67653689422521
18,adam,f,18,,[0.358292967608046 0.0435462724854532],1.08104920717914,0.0001,False,[-0.0689658654867875 -6.46926211549587],[0.762503127915826 0.273271255359998],[5.32845658284846 46.3344057939620],0.9,0.9,0.1,,,4.78504785697554,8.67218226697666
19,adam,f,19,,[0.331042792018861 -0.0649512316528245],1.04384075292600,0.0001,False,[-0.119180878932539 -6.55635466046678],[0.674334727230990 -0.409691336222680],[4.79703133275393 45.9995438579482],0.9,0.9,0.1,,,4.75194357777365,8.67867739014194
20,adam,f,20,,[0.302107562221829 -0.159920620313353],0.950254867490599,0.0001,False,[-0.183160859358092 -6.42645219716115],[0.588585168572082 -1.01136742231653],[4.32068298951861 45.5295182563932],0.9,0.9,0.1,,,4.72173282155147,8.69466945217328
21,adam,f,21,,[0.270514665929754 -0.241031790382434],0.816957941120318,0.0001,False,[-0.258563488934965 -6.10661095653444],[0.503870302821377 -1.52089177573832],[3.89530019834778 44.7056361682005],0.9,0.9,0.1,,,4.69468135495849,8.71877263121152
22,adam,f,22,,[0.235467943921025 -0.308750389309220],0.661853765659505,0.0001,False,[-0.341539725618339 -5.62454737576957],[0.419329299977406 -1.93125733574144],[3.51743511693054 43.3986258696081],0.9,0.9,0.1,,,4.67113456056639,8.74964767014244
23,adam,f,23,,[0.196482761021724 -0.363747687177714],0.502122880517922,0.0001,False,[-0.426811343495095 -5.00704659715112],[0.334715235630155 -2.23883626188241],[3.18390839753110 41.5658148452515],0.9,0.9,0.1,,,4.65148628446422,8.78602243886021
24,adam,f,24,,[0.153529932434382 -0.406521080928573],0.353005597850753,0.0001,False,[-0.507973280036639 -4.27955122279570],[0.250446384063476 -2.44290775797374],[2.89132124310111 39.2406892275796],0.9,0.9,0.1,,,4.63613329122078,8.82667454695307
25,adam,f,25,,[0.107142385281070 -0.437167830562798],0.227045507629874,0.0001,False,[-0.578106980855263 -3.46650906093856],[0.167591047571602 -2.54526788827022],[2.63560988692235 36.5182888117785],0.9,0.9,0.1,,,4.62541905269267,8.87039133000935
26,adam,f,26,,[0.0584269553479119 -0.455258992026069],0.133532623828032,0.0001,False,[-0.630693415529938 -2.59217339981296],[0.0877626012614482 -2.54995843942450],[2.41182631666940 33.5383962240705],0.9,0.9,0.1,,,4.61957635715788,8.91591722921196
27,adam,f,27,,[0.00894556889112538 -0.459802231836691],0.0779446353625805,0.0001,False,[-0.660668721057020 -1.68165541576084],[0.0129194690296014 -2.46312813705813],[2.21429200090077 30.4673530953992],0.9,0.9,0.1,,,4.61868180026877,8.96189745239563
28,adam,f,28,,[-0.0395145751066510 -0.449339264543971],0.0613047917757974,0.0001,False,[-0.665340328028942 -0.762050952087463],[-0.0549065106762529 -2.29302041856106],[2.03713057602086 27.4786899512170],0.9,0.9,0.1,,,4.62263325777943,9.00683137885002
29,adam,f,29,,[-0.0852077805336213 -0.422277646698273],0.0795946361042057,0.0001,False,[-0.644869911406374 0.136627577000468],[-0.113902850749265 -2.05005561900491],[1.87500323868250 24.7326876655750],0.9,0.9,0.1,,,4.63115403583280,9.04905914351985
30,adam,f,30,,[-0.126648538666265 -0.377553789063554],0.123651785030635,0.0001,False,[-0.602166170917052 0.981182870396992],[-0.162729182766044 -1.74693177006472],[1.72376332455394 22.3556908815336],0.9,0.9,0.1,,,4.64381888969942,9.08681452242621
31,adam,f,31,,[-0.162735070474539 -0.315565160738858],0.180163546575933,0.0001,False,[-0.542242927470088 1.73629044852413],[-0.200680557236448 -1.39860954820584],[1.58078973133768 20.4215922455438],0.9,0.9,0.1,,,4.66009239674688,9.11837103850009
