,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
251,heavy_ball,f,251,,,1.71632573134449e+828929341194813832608775270476370978666365166193765102103414138783802545980788088629693965777546882370909337223203798753,0.0001,,"[3.09314023588408e+207232335298703458152193817619092744666591291548441275525853534695950636495197022157423491444386720592727334305800949688
 2.88716682365279e+236]",,,0.25,0.5,0.5,,"[1.54657011794204e+207232335298703458152193817619092744666591291548441275525853534695950636495197022157423491444386720592727334305800949688
 1.40335574598555e+236]",-1.54657011794204e+207232335298703458152193817619092744666591291548441275525853534695950636495197022157423491444386720592727334305800949688,-1.25899740480291e+236
252,heavy_ball,f,252,,,7.28050714922288e+2486788023584441497826325811429112935999095498581295306310242416351407637942364265889081897332640647112728011669611396261,0.0001,,"[-4.43905054528879e+621697005896110374456581452857278233999773874645323826577560604087851909485591066472270474333160161778182002917402849065
 -2.51799480960583e+237]",,,0.25,0.5,0.5,,"[-2.21952527264440e+621697005896110374456581452857278233999773874645323826577560604087851909485591066472270474333160161778182002917402849065
 -1.22391351115328e+237]",2.21952527264440e+621697005896110374456581452857278233999773874645323826577560604087851909485591066472270474333160161778182002917402849065,1.09801377067298e+237
253,heavy_ball,f,253,,,5.55708948349690e+7460364070753324493478977434287338807997286495743885918930727249054222913827092797667245691997921941338184035008834188787,0.0001,,"[1.31208366743195e+1865091017688331123369744358571834701999321623935971479732681812263555728456773199416811422999480485334546008752208547197
 2.19602754134597e+238]",,,0.25,0.5,0.5,,"[6.56041833715974e+1865091017688331123369744358571834701999321623935971479732681812263555728456773199416811422999480485334546008752208547196
 1.06741593289415e+238]",-6.56041833715974e+1865091017688331123369744358571834701999321623935971479732681812263555728456773199416811422999480485334546008752208547196,-9.57614555826854e+237
254,heavy_ball,f,254,,,2.47118160448062e+22381092212259973480436932302862016423991859487231657756792181747162668741481278393001737075993765824014552105026502566365,0.0001,,"[-3.38825312527419e+5595273053064993370109233075715504105997964871807914439198045436790667185370319598250434268998441456003638026256625641591
 -1.91522911165371e+239]",,,0.25,0.5,0.5,,"[-1.69412656263710e+5595273053064993370109233075715504105997964871807914439198045436790667185370319598250434268998441456003638026256625641591
 -9.30929157504500e+238]",1.69412656263710e+5595273053064993370109233075715504105997964871807914439198045436790667185370319598250434268998441456003638026256625641591,8.35167701921815e+238
255,heavy_ball,f,255,,,2.17308382556239e+67143276636779920441310796908586049271975578461694973270376545241488006224443835179005211227981297472043656315079507699098,0.0001,,"[5.83470363780603e+16785819159194980110327699227146512317993894615423743317594136310372001556110958794751302806995324368010914078769876924774
 1.67033540384363e+240]",,,0.25,0.5,0.5,,"[2.91735181890301e+16785819159194980110327699227146512317993894615423743317594136310372001556110958794751302806995324368010914078769876924774
 8.11894472984202e+239]",-2.91735181890301e+16785819159194980110327699227146512317993894615423743317594136310372001556110958794751302806995324368010914078769876924774,-7.28377702792021e+239
256,heavy_ball,f,256,,,1.47771924737325e+201429829910339761323932390725758147815926735385084919811129635724464018673331505537015633683943892416130968945238523097297,0.0001,,"[-2.97952932722323e+50357457477584940330983097681439536953981683846271229952782408931116004668332876384253908420985973104032742236309630774324
 -1.45675540558404e+241]",,,0.25,0.5,0.5,,"[-1.48976466361162e+50357457477584940330983097681439536953981683846271229952782408931116004668332876384253908420985973104032742236309630774324
 -7.08080340967416e+240]",1.48976466361162e+50357457477584940330983097681439536953981683846271229952782408931116004668332876384253908420985973104032742236309630774324,6.35242570688214e+240
257,heavy_ball,f,257,,,4.64663203576061e+604289489731019283971797172177274443447780206155254759433388907173392056019994516611046901051831677248392906835715569291893,0.0001,,"[3.96765820392287e+151072372432754820992949293044318610861945051538813689858347226793348014004998629152761725262957919312098226708928892322973
 1.27048514137643e+242]",,,0.25,0.5,0.5,,"[1.98382910196143e+151072372432754820992949293044318610861945051538813689858347226793348014004998629152761725262957919312098226708928892322973
 6.17540562164028e+241]",-1.98382910196143e+151072372432754820992949293044318610861945051538813689858347226793348014004998629152761725262957919312098226708928892322973,-5.54016305095207e+241
258,heavy_ball,f,258,,,1.44469888961620e+1812868469193057851915391516531823330343340618465764278300166721520176168059983549833140703155495031745178720507146707875683,0.0001,,"[-9.36901677904904e+453217117298264462978847879132955832585835154616441069575041680380044042014995887458285175788873757936294680126786676968920
 -1.10803261019041e+243]",,,0.25,0.5,0.5,,"[-4.68450838952452e+453217117298264462978847879132955832585835154616441069575041680380044042014995887458285175788873757936294680126786676968920
 -5.38577791041106e+242]",4.68450838952452e+453217117298264462978847879132955832585835154616441069575041680380044042014995887458285175788873757936294680126786676968920,4.83176160531585e+242
259,heavy_ball,f,259,,,4.34204688958380e+5438605407579173555746174549595469991030021855397292834900500164560528504179950649499422109466485095235536161521440123627051,0.0001,,"[1.23359701337868e+1359651351894793388936543637398867497757505463849323208725125041140132126044987662374855527366621273808884040380360030906763
 9.66352321063171e+243]",,,0.25,0.5,0.5,,"[6.16798506689338e+1359651351894793388936543637398867497757505463849323208725125041140132126044987662374855527366621273808884040380360030906762
 4.69711715755558e+243]",-6.16798506689338e+1359651351894793388936543637398867497757505463849323208725125041140132126044987662374855527366621273808884040380360030906762,-4.21394099702399e+243
260,heavy_ball,f,260,,,1.17881599304945e+16315816222737520667238523648786409973090065566191878504701500493681585512539851948498266328399455285706608484564320370881157,0.0001,,"[-2.81586083136920e+4078954055684380166809630912196602493272516391547969626175375123420396378134962987124566582099863821426652121141080092720289
 -8.42788199404799e+244]",,,0.25,0.5,0.5,,"[-1.40793041568460e+4078954055684380166809630912196602493272516391547969626175375123420396378134962987124566582099863821426652121141080092720289
 -4.09651306808510e+244]",1.40793041568460e+4078954055684380166809630912196602493272516391547969626175375123420396378134962987124566582099863821426652121141080092720289,3.67511896838270e+244
