,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,f,0,,,13,0.0001,,[12 20],,,0.9,0.5,0.01,,0,6,10
1,heavy_ball,f,1,,,8.19908608000001,0.0001,,[12 20],,,0.9,0.5,0.01,,[0.120000000000000 0.200000000000000],5.88000000000000,9.80000000000000
2,heavy_ball,f,2,,,2.79689456687982,0.0001,,[8.17766400000000 16.0000000000000],,,0.9,0.5,0.01,,[0.189776640000000 0.340000000000000],5.69022336000000,9.46000000000000
3,heavy_ball,f,3,,,0.197646047844707,0.0001,,[3.94593754044961 9.20000000000002],,,0.9,0.5,0.01,,[0.210258351404496 0.398000000000000],5.47996500859550,9.06200000000000
4,heavy_ball,f,4,,,0.970120348760096,0.0001,,[1.32681378845164 1.24000000000001],,,0.9,0.5,0.01,,[0.202500654148563 0.370600000000000],5.27746435444694,8.69140000000000
5,heavy_ball,f,5,,,3.36909482457988,0.0001,,[0.256332007699477 -6.17199999999997],,,0.9,0.5,0.01,,[0.184813908810701 0.271820000000001],5.09265044563624,8.41958000000000
6,heavy_ball,f,6,,,5.02653020946207,0.0001,,[0.00954385392881672 -11.6084000000000],,,0.9,0.5,0.01,,[0.166427956468919 0.128554000000001],4.92622248916732,8.29102600000000
7,heavy_ball,f,7,,,4.67070851954724,0.0001,,[-0.00481895911515719 -14.1794800000000],,,0.9,0.5,0.01,,[0.149736971230876 -0.0260961999999990],4.77648551793644,8.31712220000000
8,heavy_ball,f,8,,,2.78205792152859,0.0001,,[-0.133997979007259 -13.6575560000000],,,0.9,0.5,0.01,,[0.133423294317716 -0.160062139999999],4.64306222361873,8.47718434000000
9,heavy_ball,f,9,,,0.900183574615804,0.0001,,[-0.545706073589810 -10.4563132000000],,,0.9,0.5,0.01,,[0.114623904150046 -0.248619057999999],4.52843831946868,8.72580339800000
10,heavy_ball,f,10,,,0.299763842118641,0.0001,,[-1.25833641923734 -5.48393204000004],,,0.9,0.5,0.01,,[0.0905781495426681 -0.278596472600000],4.43786016992601,9.00439987060000
11,heavy_ball,f,11,,,1.09649594232052,0.0001,,[-2.13164225325393 0.0879974119999645],,,0.9,0.5,0.01,,[0.0602039120558619 -0.249856851220000],4.37765625787015,9.25425672182000
12,heavy_ball,f,12,,,2.36186884766986,0.0001,,[-2.89249240218182 5.08513443639998],,,0.9,0.5,0.01,,[0.0252585968284575 -0.174019821734000],4.35239766104170,9.42827654355400
13,heavy_ball,f,13,,,2.98865187248441,0.0001,,[-3.25916593156857 8.56553087107997],,,0.9,0.5,0.01,,[-0.00985892217007396 -0.0709625308498006],4.36225658321177,9.49923907440380
14,heavy_ball,f,14,,,2.52906255128615,0.0001,,[-3.11257051224765 9.98478148807601],,,0.9,0.5,0.01,,[-0.0399987350755431 0.0359815371159396],4.40225531828731,9.46325753728786
15,heavy_ball,f,15,,,1.39177885644972,0.0001,,[-2.56288080488585 9.26515074575721],,,0.9,0.5,0.01,,[-0.0616276696168473 0.125034890861918],4.46388298790416,9.33822264642594
16,heavy_ball,f,16,,,0.386653431256656,0.0001,,[-1.84909835207191 6.76445292851889],,,0.9,0.5,0.01,,[-0.0739558861758816 0.180175931060915],4.53783887408004,9.15804671536503
17,heavy_ball,f,17,,,0.0778234501151917,0.0001,,[-1.18457205683385 3.16093430730058],,,0.9,0.5,0.01,,[-0.0784060181266319 0.193767681027829],4.61624489220667,8.96427903433720
18,heavy_ball,f,18,,,0.438402448043597,0.0001,,[-0.678178087171176 -0.714419313256030],,,0.9,0.5,0.01,,[-0.0773471971856805 0.167246719792486],4.69359208939235,8.79703231454471
19,heavy_ball,f,19,,,0.987934415597026,0.0001,,[-0.345208250014104 -4.05935370910572],,,0.9,0.5,0.01,,[-0.0730645599672535 0.109928510722180],4.76665664935961,8.68710380382253
20,heavy_ball,f,20,,,1.22205522994415,0.0001,,[-0.152464079209203 -6.25792392354936],,,0.9,0.5,0.01,,[-0.0672827447626202 0.0363564204144686],4.83393939412223,8.65074738340806
21,heavy_ball,f,21,,,0.974570919665109,0.0001,,[-0.0549516959533967 -6.98505233183874],,,0.9,0.5,0.01,,[-0.0611039872458921 -0.0371297449453657],4.89504338136812,8.68787712835343
22,heavy_ball,f,22,,,0.467795476453679,0.0001,,[-0.0138742890477586 -6.24245743293142],,,0.9,0.5,0.01,,[-0.0551323314117805 -0.0958413447801433],4.95017571277990,8.78371847313357
23,heavy_ball,f,23,,,0.0752868776604395,0.0001,,[-0.00148424135967331 -4.32563053732852],,,0.9,0.5,0.01,,[-0.0496339406841992 -0.129513515675414],4.99980965346410,8.91323198880899
24,heavy_ball,f,24,,,0.0222408514082808,0.0001,,[-8.27591799525747e-11 -1.73536022382024],,,0.9,0.5,0.01,,[-0.0446705466166069 -0.133915766346075],5.04448020008071,9.04714775515506
25,heavy_ball,f,25,,,0.250560758945687,0.0001,,[0.00105604261150325 0.942955103101269],,,0.9,0.5,0.01,,[-0.0401929315288311 -0.111094638680455],5.08467313160954,9.15824239383552
26,heavy_ball,f,26,,,0.514019123674592,0.0001,,[0.00728480805196834 3.16484787671038],,,0.9,0.5,0.01,,[-0.0361007902954283 -0.0683366960453057],5.12077392190497,9.22657908988082
27,heavy_ball,f,27,,,0.591000989153722,0.0001,,[0.0211397941641647 4.53158179761647],,,0.9,0.5,0.01,,[-0.0322793133242439 -0.0161872084646104],5.15305323522921,9.24276629834543
28,heavy_ball,f,28,,,0.439165362163349,0.0001,,[0.0430238022167255 4.85532596690865],,,0.9,0.5,0.01,,[-0.0286211439696522 0.0339847720509372],5.18167437919886,9.20878152629450
29,heavy_ball,f,29,,,0.191633523070816,0.0001,,[0.0719552192040819 4.17563052588991],,,0.9,0.5,0.01,,[-0.0250394773806462 0.0723426001047426],5.20671385657951,9.13643892618975
30,heavy_ball,f,30,,,0.0275316670037447,0.0001,,[0.105996131334848 2.72877852379509],,,0.9,0.5,0.01,,[-0.0214755683292331 0.0923961253322192],5.22818942490874,9.04404280085754
31,heavy_ball,f,31,,,0.0339683743971421,0.0001,,[0.142583012919762 0.880856017150734],,,0.9,0.5,0.01,,[-0.0179021813671122 0.0919650729705046],5.24609160627585,8.95207772788703
32,heavy_ball,f,32,,,0.160464609005297,0.0001,,[0.178842877560230 -0.958445442259375],,,0.9,0.5,0.01,,[-0.0143235344547986 0.0731841112508604],5.26041514073065,8.87889361663617
33,heavy_ball,f,33,,,0.281103719921762,0.0001,,[0.211923900460162 -2.42212766727658],,,0.9,0.5,0.01,,[-0.0107719420047172 0.0416444234530085],5.27118708273537,8.83724919318316
34,heavy_ball,f,34,,,0.299212672972057,0.0001,,[0.239325097092142 -3.25501613633676],,,0.9,0.5,0.01,,[-0.00730149683332403 0.00492981974434004],5.27848857956869,8.83231937343882
35,heavy_ball,f,35,,,0.211146363103714,0.0001,,[0.259181152211102 -3.35361253122358],,,0.9,0.5,0.01,,[-0.00397953562788060 -0.0290992875423297],5.28246811519657,8.86141866098115
36,heavy_ball,f,36,,,0.0910365616158808,0.0001,,[0.270451592001483 -2.77162678037698],,,0.9,0.5,0.01,,[-0.000877066145077707 -0.0539056265918665],5.28334518134165,8.91532428757302
37,heavy_ball,f,37,,,0.0225087208267147,0.0001,,[0.272978686620332 -1.69351424853966],,,0.9,0.5,0.01,,[0.00194042733563339 -0.0654502064180764],5.28140475400602,8.98077449399109
38,heavy_ball,f,38,,,0.0366020755139524,0.0001,,[0.267408702176047 -0.384510120178135],,,0.9,0.5,0.01,,[0.00442047162383052 -0.0627502869780501],5.27698428238219,9.04352478096914
39,heavy_ball,f,39,,,0.0993990877297316,0.0001,,[0.255003782567975 0.870495619382865],,,0.9,0.5,0.01,,[0.00652846228712722 -0.0477703020864165],5.27045582009506,9.09129508305556
40,heavy_ball,f,40,,,0.148808636954983,0.0001,,[0.237394274937398 1.82590166111117],,,0.9,0.5,0.01,,[0.00824955880778848 -0.0247342552666631],5.26220626128727,9.11602933832222
41,heavy_ball,f,41,,,0.144661427042041,0.0001,,[0.216326846970581 2.32058676644445],,,0.9,0.5,0.01,,[0.00958787139671544 0.000945037924447716],5.25261838989056,9.11508430039778
