,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,f,0,2685,0.0001,False,[-1500 -180],,,0.9,0.5,0.01,[0. 0.],,0,0
1,rmsprop,f,1,674.572800000000,0.0001,False,[-1500 -180],,,0.9,0.5,0.01,[225000.000000000 3240.00000000000],,15.0000000000000,1.80000000000000
2,rmsprop,f,2,635.024636577901,0.0001,False,[12000.0000000000 -144.000000000000],,,0.9,0.5,0.01,[14602500.0000000 4989.60000000000],,14.7470178405199,1.82529817683698
3,rmsprop,f,3,623.965336384164,0.0001,False,[11112.1099259404 -143.494036463260],,,0.9,0.5,0.01,[25490148.7006183 6549.69385005195],,14.7179386100060,1.84561240715383
4,rmsprop,f,4,614.872217093101,0.0001,False,[11012.9508169973 -143.087751856923],,,0.9,0.5,0.01,[35069642.4003167 7942.13493819360],,14.6961255041671,1.86329278017062
5,rmsprop,f,5,606.885080631622,0.0001,False,[10938.9573941289 -142.734144396588],,,0.9,0.5,0.01,[43528757.0473416 9185.22504203684],,14.6776536600582,1.87930895341919
6,rmsprop,f,6,599.635133474024,0.0001,False,[10876.5578257203 -142.413820931616],,,0.9,0.5,0.01,[51005832.3562311 10294.8721770674],,14.6611681141358,1.89416854198824
7,rmsprop,f,7,592.920296046160,0.0001,False,[10821.0689443068 -142.116629160235],,,0.9,0.5,0.01,[57614802.4303520 11285.0985877474],,14.6460164533640,1.90817518276495
8,rmsprop,f,8,586.615200174282,0.0001,False,[10770.2365304304 -141.836496344701],,,0.9,0.5,0.01,[63453121.6794586 12168.3478985067],,14.6318272439963,1.92152683178017
9,rmsprop,f,9,580.635773101489,0.0001,False,[10722.7776275508 -141.569463364397],,,0.9,0.5,0.01,[68605605.5165032 12955.7044043844],,14.6183661363360,1.93436057611059
10,rmsprop,f,10,574.922500435086,0.0001,False,[10677.8830828837 -141.312788477788],,,0.9,0.5,0.01,[73146763.6780262 13657.0643826828],,14.6054745798724,1.94677568604079
11,rmsprop,f,11,569.431532521088,0.0001,False,[10635.0057020724 -141.064486279184],,,0.9,0.5,0.01,[77142421.9385349 14281.2768733355],,14.5930397409450,1.95884655795530
12,rmsprop,f,12,564.129549299706,0.0001,False,[10593.7562695345 -140.823068840894],,,0.9,0.5,0.01,[80650946.9345116 14836.2628577787],,14.5809781849571,1.97063048164412
13,rmsprop,f,13,558.990603852651,0.0001,False,[10553.8471485885 -140.587390367118],,,0.9,0.5,0.01,[83724221.2046375 15329.1180050244],,14.5692263398218,1.98217255295795
14,rmsprop,f,14,553.994084516884,0.0001,False,[10515.0593209651 -140.356548940841],,,0.9,0.5,0.01,[86408446.3365153 15766.2022875803],,14.5577345899628,1.99350891603306
15,rmsprop,f,15,549.123345826800,0.0001,False,[10477.2219748820 -140.129821679339],,,0.9,0.5,0.01,[88744819.7339588 16153.2187512106],,14.5464634448227,2.00466897980367
16,rmsprop,f,16,544.364758011803,0.0001,False,[10440.1992632042 -139.906620403927],,,0.9,0.5,0.01,[90770113.8261039 16495.2831193743],,14.5353809566278,2.01567697894294
17,rmsprop,f,17,539.707028527509,0.0001,False,[10403.8813793028 -139.686460421141],,,0.9,0.5,0.01,[92517177.2189538 16796.9855299356],,14.5244609237151,2.02655310136917
18,rmsprop,f,18,535.140706138555,0.0001,False,[10368.1783479625 -139.468937972617],,,0.9,0.5,0.01,[94015371.7225743 17062.4454428630],,14.5136816061227,2.03731432073998
19,rmsprop,f,19,530.657810914253,0.0001,False,[10333.0155867551 -139.253713585200],,,0.9,0.5,0.01,[95290955.6619291 17295.3605733036],,14.5030247857323,2.04797502302693
20,rmsprop,f,20,526.251553166866,0.0001,False,[10298.3306582467 -139.040499539461],,,0.9,0.5,0.01,[96367421.5303945 17499.0505671915],,14.4924750644409,2.05854748614741
21,rmsprop,f,21,521.916116546206,0.0001,False,[10264.0708448875 -138.829050277052],,,0.9,0.5,0.01,[97265794.4082421 17676.4960305552],,14.4820193306551,2.06904225267112
22,rmsprop,f,22,517.646488277561,0.0001,False,[10230.1913056683 -138.619154946578],,,0.9,0.5,0.01,[98004896.3824750 17830.3734393100],,14.4716463472849,2.07946842335313
23,rmsprop,f,23,513.438324619437,0.0001,False,[10196.6536527275 -138.410631532937],,,0.9,0.5,0.01,[98601581.3155956 17963.0863875137],,14.4613464290604,2.08983389111897
24,rmsprop,f,24,509.287843027612,0.0001,False,[10163.4248366932 -138.203322177621],,,0.9,0.5,0.01,[99070943.6251472 18076.7935748554],,14.4511111865924,2.10014552962492
25,rmsprop,f,25,505.191734844014,0.0001,False,[10130.4762627376 -137.997089407502],,,0.9,0.5,0.01,[99426504.1936214 18173.4338858641],,14.4409333210518,2.11040934671948
26,rmsprop,f,26,501.147093953714,0.0001,False,[10097.7830816000 -137.791813065610],,,0.9,0.5,0.01,[99680376.0905640 18254.7488720685],,14.4308064577497,2.12063061046461
27,rmsprop,f,27,497.151358004270,0.0001,False,[10065.3236150862 -137.587387790708],,,0.9,0.5,0.01,[99843412.4291488 18322.3029127687],,14.4207250099821,2.13081395347256
28,rmsprop,f,28,493.202259609617,0.0001,False,[10033.0788861875 -137.383720930549],,,0.9,0.5,0.01,[99925338.3798800 18377.5012991641],,14.4106840666818,2.14096345993592
29,rmsprop,f,29,489.297785564592,0.0001,False,[10001.0322315038 -137.180730801282],,,0.9,0.5,0.01,[99934869.1114499 18421.6064595651],,14.4006792989922,2.15108273871810
30,rmsprop,f,30,485.436142542261,0.0001,False,[9969.16897907961 -136.978345225638],,,0.9,0.5,0.01,[99879815.2136492 18455.7525196840],,14.3907068820220,2.16117498512060
31,rmsprop,f,31,481.615728079781,0.0001,False,[9937.47617872063 -136.776500297588],,,0.9,0.5,0.01,[99767176.9725483 18480.9583710812],,14.3807634288873,2.17124303337996
32,rmsprop,f,32,477.835105910515,0.0001,False,[9905.94237478655 -136.575139332401],,,0.9,0.5,0.01,[99603228.7085527 18498.1394023395],,14.3708459347789,2.18128940151901
