,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,g,0,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0. 0.],,0,0
1,rmsprop,g,1,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 10.0000000000000],,0,1.00000000000000
2,rmsprop,g,2,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 19.0000000000000],,0,1.31621776633306
3,rmsprop,g,3,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 27.1000000000000],,0,1.54562823716647
4,rmsprop,g,4,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 34.3900000000000],,0,1.73771923479927
5,rmsprop,g,5,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 40.9510000000000],,0,1.90823969906980
6,rmsprop,g,6,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 46.8559000000000],,0,2.06450442613226
7,rmsprop,g,7,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 52.1703100000000],,0,2.21059140688337
8,rmsprop,g,8,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 56.9532790000000],,0,2.34903800175378
9,rmsprop,g,9,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 61.2579511000000],,0,2.48154379880324
10,rmsprop,g,10,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 65.1321559900000],,0,2.60930918668589
11,rmsprop,g,11,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 68.6189403910000],,0,2.73321648611003
12,rmsprop,g,12,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 71.7570463519000],,0,2.85393468677020
13,rmsprop,g,13,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 74.5813417167100],,0,2.97198376386680
14,rmsprop,g,14,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 77.1232075450390],,0,3.08777611577205
15,rmsprop,g,15,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 79.4108867905351],,0,3.20164433084522
16,rmsprop,g,16,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 81.4697981114816],,0,3.31386041341952
17,rmsprop,g,17,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 83.3228183003334],,0,3.42464947108352
18,rmsprop,g,18,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 84.9905364703001],,0,3.53419969428530
19,rmsprop,g,19,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 86.4914828232701],,0,3.64266978513306
20,rmsprop,g,20,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 87.8423345409431],,0,3.75019458895008
21,rmsprop,g,21,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 89.0581010868488],,0,3.85688943267242
22,rmsprop,g,22,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 90.1522909781639],,0,3.96285351529928
23,rmsprop,g,23,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 91.1370618803475],,0,4.06817259177844
24,rmsprop,g,24,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 92.0233556923128],,0,4.17292112228562
25,rmsprop,g,25,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 92.8210201230815],,0,4.27716401147242
26,rmsprop,g,26,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 93.5389181107733],,0,4.38095802931345
27,rmsprop,g,27,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 94.1850262996960],,0,4.48435298189053
28,rmsprop,g,28,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 94.7665236697264],,0,4.58739268373117
29,rmsprop,g,29,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 95.2898713027538],,0,4.69011577114568
30,rmsprop,g,30,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 95.7608841724784],,0,4.79255638703214
31,rmsprop,g,31,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 96.1847957552306],,0,4.89474476092201
32,rmsprop,g,32,90,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 96.5663161797075],,0,4.99670770298752
33,rmsprop,g,33,90.0984690268832,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 96.9096845617368],,0,5.09846902688322
34,rmsprop,g,34,90.2000499133329,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 97.2187161055631],,0,5.20004991333295
35,rmsprop,g,35,90.3014692240753,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 97.4968444950068],,0,5.30146922407527
36,rmsprop,g,36,90.4027437739822,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 97.7471600455061],,0,5.40274377398221
37,rmsprop,g,37,90.5038885677474,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 97.9724440409555],,0,5.50388856774743
38,rmsprop,g,38,90.6049170064126,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.1751996368599],,0,5.60491700641256
39,rmsprop,g,39,90.7058410680986,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.3576796731739],,0,5.70584106809855
40,rmsprop,g,40,90.8066714665820,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.5219117058566],,0,5.80667146658200
41,rmsprop,g,41,90.9074177907671,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.6697205352709],,0,5.90741779076711
42,rmsprop,g,42,91.0080886276234,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.8027484817438],,0,6.00808862762344
43,rmsprop,g,43,91.1086916707649,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 98.9224736335694],,0,6.10869167076490
44,rmsprop,g,44,91.2092338165205,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.0302262702125],,0,6.20923381652050
45,rmsprop,g,45,91.3097212490770,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.1272036431912],,0,6.30972124907697
46,rmsprop,g,46,91.4101595160485,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.2144832788721],,0,6.41015951604846
47,rmsprop,g,47,91.5105535956402,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.2930349509849],,0,6.51055359564022
48,rmsprop,g,48,91.6109079564139,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.3637314558864],,0,6.61090795641392
49,rmsprop,g,49,91.7112266105285,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.4273583102978],,0,6.71122661052849
50,rmsprop,g,50,91.8115131612161,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.4846224792680],,0,6.81151316121610
51,rmsprop,g,51,91.9117708451558,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.5361602313412],,0,6.91177084515576
52,rmsprop,g,52,92.0120025703239,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.5825442082071],,0,7.01200257032391
53,rmsprop,g,53,92.1122109498296,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.6242897873864],,0,7.11221094982960
54,rmsprop,g,54,92.2123983321806,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.6618608086477],,0,7.21239833218060
55,rmsprop,g,55,92.3125668283732,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.6956747277830],,0,7.31256682837316
56,rmsprop,g,56,92.4127183361519,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.7261072550047],,0,7.41271833615192
57,rmsprop,g,57,92.5128545617463,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.7534965295042],,0,7.51285456174627
58,rmsprop,g,58,92.6129770393544,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.7781468765538],,0,7.61297703935437
59,rmsprop,g,59,92.7130871486151,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8003321888984],,0,7.71308714861509
60,rmsprop,g,60,92.8131861302813,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8202989700086],,0,7.81318613028132
61,rmsprop,g,61,92.9132751002845,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8382690730077],,0,7.91327510028445
62,rmsprop,g,62,93.0133550623588,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8544421657070],,0,8.01335506235877
63,rmsprop,g,63,93.1134269193763,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8689979491363],,0,8.11342691937630
64,rmsprop,g,64,93.2134914835261,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8820981542226],,0,8.21349148352612
65,rmsprop,g,65,93.3135494854581,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.8938883388004],,0,8.31354948545805
66,rmsprop,g,66,93.4136015824976,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9044995049203],,0,8.41360158249761
67,rmsprop,g,67,93.5136483660278,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9140495544283],,0,8.51364836602778
68,rmsprop,g,68,93.6136903681232,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9226445989855],,0,8.61369036812324
69,rmsprop,g,69,93.7137280675135,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9303801390869],,0,8.71372806751355
70,rmsprop,g,70,93.8137618949439,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9373421251782],,0,8.81376189494385
71,rmsprop,g,71,93.9137922379945,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9436079126604],,0,8.91379223799453
72,rmsprop,g,72,94.0138194454148,0.0001,False,[0 -10],,,0.9,0.5,0.1,[0 99.9492471213944],,0,9.01381944541482
73,rmsprop,g,73,93.9137950598098,0.0001,True,[0 10],,,0.9,0.5,0.1,[0 99.9543224092549],,0,8.91379505980976
