,0,1,2,3,4,5,6,7,8,9
0,233,22,14,8,20,6,2,36,31,32
1,4,281,1,2,6,5,6,14,12,39
2,24,8,142,36,75,44,40,50,4,7
3,0,11,20,185,27,67,51,25,6,16
4,13,8,15,24,243,22,40,43,5,6
5,4,5,15,39,21,243,32,39,1,6
6,2,9,11,31,47,28,261,20,4,7
7,5,7,8,13,28,23,8,296,4,17
8,65,26,5,10,11,10,5,13,235,31
9,11,63,4,6,4,15,6,22,8,281
