,0,1,2,3,4,5,6,7,8,9
0,360,2,2,0,10,2,5,2,23,6
1,4,355,0,2,1,0,3,1,4,14
2,13,1,304,19,41,8,30,5,9,9
3,2,0,6,340,9,7,33,2,7,6
4,5,0,6,6,362,8,18,4,7,4
5,3,2,6,32,15,306,20,5,0,3
6,3,1,8,3,18,3,386,0,1,1
7,4,1,7,10,23,5,11,324,3,9
8,12,3,1,1,4,2,1,1,370,11
9,3,6,3,3,1,1,1,0,5,387
