exp/iibiii/10000.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/10000.history.csv:2:0,2.3337342739105225,0.22646960616111755,2.066803455352783,0.3019999861717224
exp/iibiii/10000.history.csv:3:1,1.922827959060669,0.36304032802581787,1.8548496961593628,0.3779999911785126
exp/iibiii/10000.history.csv:4:2,1.8174127340316772,0.398044228553772,1.9045854806900024,0.37599998712539673
exp/iibiii/10000.history.csv:5:3,1.7571604251861572,0.4252694845199585,1.72797691822052,0.4339999854564667
exp/iibiii/10000.history.csv:6:4,1.707095980644226,0.4388265311717987,1.7132370471954346,0.4359999895095825
exp/iibiii/10000.history.csv:7:5,1.6929033994674683,0.4482720196247101,1.7072428464889526,0.4339999854564667
exp/iibiii/10000.history.csv:8:6,1.639346957206726,0.471052348613739,1.628998041152954,0.4699999988079071
exp/iibiii/10000.history.csv:9:7,1.6101280450820923,0.4820535480976105,1.6072074174880981,0.49000000953674316
exp/iibiii/10000.history.csv:10:8,1.5760064125061035,0.5000555515289307,1.5912474393844604,0.4869999885559082
exp/iibiii/10000.history.csv:11:9,1.557072639465332,0.5137237310409546,1.5791701078414917,0.503000020980835
exp/iibiii/10000.history.csv:12:10,1.5518481731414795,0.5088343024253845,1.5451045036315918,0.5019999742507935
exp/iibiii/10000.history.csv:13:11,1.5161662101745605,0.524502694606781,1.5188490152359009,0.5230000019073486
exp/iibiii/10000.history.csv:14:12,1.5083214044570923,0.5300589203834534,1.5603021383285522,0.503000020980835
exp/iibiii/10000.history.csv:15:13,1.4832700490951538,0.5390598773956299,1.5672128200531006,0.49799999594688416
exp/iibiii/10000.history.csv:16:14,1.4698729515075684,0.5511723756790161,1.4802478551864624,0.5370000004768372
exp/iibiii/10000.history.csv:17:15,1.469124436378479,0.5416157245635986,1.493841290473938,0.531000018119812
exp/iibiii/10000.history.csv:18:16,1.4473930597305298,0.5611734390258789,1.4909659624099731,0.531000018119812
exp/iibiii/10000.history.csv:19:17,1.434888482093811,0.5563951730728149,1.4939522743225098,0.5199999809265137
exp/iibiii/10000.history.csv:20:18,1.4325472116470337,0.5662851333618164,1.4709335565567017,0.5509999990463257
exp/iibiii/10000.history.csv:21:19,1.4220548868179321,0.5683965086936951,1.478902816772461,0.5289999842643738
exp/iibiii/1000.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/1000.history.csv:2:0,2.8050642013549805,0.11012236028909683,2.7466750144958496,0.11999999731779099
